Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-16T23:45:00-07:00 Los_Angeles,9.84000015258789kW,166799.796875hundred_cubic_feet_natural_gas,""
2024-04-17T00:00:00-07:00 Los_Angeles,9.779999732971191kW,166799.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-17T00:15:00-07:00 Los_Angeles,8.670000076293945kW,166799.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-17T00:30:00-07:00 Los_Angeles,8.699999809265137kW,166799.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-17T00:45:00-07:00 Los_Angeles,8.75kW,166799.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-17T01:00:00-07:00 Los_Angeles,8.8100004196167kW,166799.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-17T01:15:00-07:00 Los_Angeles,8.720000267028809kW,166799.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-17T01:30:00-07:00 Los_Angeles,8.699999809265137kW,166801hundred_cubic_feet_natural_gas,2kWh
2024-04-17T01:45:00-07:00 Los_Angeles,8.65999984741211kW,166803.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-17T02:00:00-07:00 Los_Angeles,8.850000381469727kW,166803.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-17T02:15:00-07:00 Los_Angeles,8.859999656677246kW,166803.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-17T02:30:00-07:00 Los_Angeles,8.819999694824219kW,166803.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-17T02:45:00-07:00 Los_Angeles,8.779999732971191kW,166803.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-17T03:00:00-07:00 Los_Angeles,8.819999694824219kW,166803.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-17T03:15:00-07:00 Los_Angeles,8.880000114440918kW,166804.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-17T03:30:00-07:00 Los_Angeles,8.800000190734863kW,166804.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-17T03:45:00-07:00 Los_Angeles,8.710000038146973kW,166804.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-17T04:00:00-07:00 Los_Angeles,8.710000038146973kW,166805.5hundred_cubic_feet_natural_gas,2kWh
2024-04-17T04:15:00-07:00 Los_Angeles,8.710000038146973kW,166806hundred_cubic_feet_natural_gas,2kWh
2024-04-17T04:30:00-07:00 Los_Angeles,8.819999694824219kW,166806hundred_cubic_feet_natural_gas,3kWh
2024-04-17T04:45:00-07:00 Los_Angeles,8.729999542236328kW,166806.5hundred_cubic_feet_natural_gas,2kWh
2024-04-17T05:00:00-07:00 Los_Angeles,8.6899995803833kW,166806.5hundred_cubic_feet_natural_gas,2kWh
2024-04-17T05:15:00-07:00 Los_Angeles,9.069999694824219kW,166806.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-17T05:30:00-07:00 Los_Angeles,9.199999809265137kW,166806.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-17T05:45:00-07:00 Los_Angeles,9.239999771118164kW,166806.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-17T06:00:00-07:00 Los_Angeles,9.420000076293945kW,166813hundred_cubic_feet_natural_gas,2kWh
2024-04-17T06:15:00-07:00 Los_Angeles,13.970000267028809kW,166817.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-17T06:30:00-07:00 Los_Angeles,12.079999923706055kW,166818.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-17T06:45:00-07:00 Los_Angeles,11.399999618530273kW,166821.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-17T07:00:00-07:00 Los_Angeles,10.899999618530273kW,166824.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-17T07:15:00-07:00 Los_Angeles,10kW,166827hundred_cubic_feet_natural_gas,3kWh
2024-04-17T07:30:00-07:00 Los_Angeles,7.840000152587891kW,166829.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-17T07:45:00-07:00 Los_Angeles,9.079999923706055kW,166829.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-17T08:00:00-07:00 Los_Angeles,5.369999885559082kW,166829.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-17T08:15:00-07:00 Los_Angeles,3.0399999618530273kW,166835.90625hundred_cubic_feet_natural_gas,1kWh
2024-04-17T08:30:00-07:00 Los_Angeles,2.0299999713897705kW,166837.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-17T08:45:00-07:00 Los_Angeles,-1.8300000429153442kW,166839.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-17T09:00:00-07:00 Los_Angeles,-0.800000011920929kW,166845hundred_cubic_feet_natural_gas,0kWh
2024-04-17T09:15:00-07:00 Los_Angeles,-3.2799999713897705kW,166845.609375hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T09:30:00-07:00 Los_Angeles,-5.829999923706055kW,166845.609375hundred_cubic_feet_natural_gas,-2kWh
2024-04-17T09:45:00-07:00 Los_Angeles,1.100000023841858kW,166852.5hundred_cubic_feet_natural_gas,1kWh
2024-04-17T10:00:00-07:00 Los_Angeles,-1.149999976158142kW,166853.40625hundred_cubic_feet_natural_gas,0kWh
2024-04-17T10:15:00-07:00 Los_Angeles,-4.519999980926514kW,166853.40625hundred_cubic_feet_natural_gas,0kWh
2024-04-17T10:30:00-07:00 Los_Angeles,-2.200000047683716kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T10:45:00-07:00 Los_Angeles,0.5099999904632568kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T11:00:00-07:00 Los_Angeles,-4.139999866485596kW,166853.40625hundred_cubic_feet_natural_gas,0kWh
2024-04-17T11:15:00-07:00 Los_Angeles,-1.690000057220459kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T11:30:00-07:00 Los_Angeles,-6.989999771118164kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T11:45:00-07:00 Los_Angeles,-8.420000076293945kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-17T12:00:00-07:00 Los_Angeles,-7kW,166853.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-17T12:15:00-07:00 Los_Angeles,-9.15999984741211kW,166853.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-17T12:30:00-07:00 Los_Angeles,-12.149999618530273kW,166853.40625hundred_cubic_feet_natural_gas,-3kWh
2024-04-17T12:45:00-07:00 Los_Angeles,8.649999618530273kW,166853.40625hundred_cubic_feet_natural_gas,0kWh
2024-04-17T13:00:00-07:00 Los_Angeles,-10.649999618530273kW,166853.40625hundred_cubic_feet_natural_gas,-1kWh
