Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-21T23:45:00-07:00 Los_Angeles,8.5600004196167kW,167069.609375hundred_cubic_feet_natural_gas,""
2024-04-22T00:00:00-07:00 Los_Angeles,8.59000015258789kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T00:15:00-07:00 Los_Angeles,8.470000267028809kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T00:30:00-07:00 Los_Angeles,8.380000114440918kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T00:45:00-07:00 Los_Angeles,8.399999618530273kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T01:00:00-07:00 Los_Angeles,8.420000076293945kW,167069.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-22T01:15:00-07:00 Los_Angeles,8.5600004196167kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T01:30:00-07:00 Los_Angeles,8.65999984741211kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T01:45:00-07:00 Los_Angeles,8.550000190734863kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T02:00:00-07:00 Los_Angeles,8.520000457763672kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T02:15:00-07:00 Los_Angeles,8.550000190734863kW,167069.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T02:30:00-07:00 Los_Angeles,8.520000457763672kW,167071.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-22T02:45:00-07:00 Los_Angeles,8.539999961853027kW,167073.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-22T03:00:00-07:00 Los_Angeles,8.510000228881836kW,167073.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T03:15:00-07:00 Los_Angeles,8.420000076293945kW,167073.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T03:30:00-07:00 Los_Angeles,8.369999885559082kW,167073.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T03:45:00-07:00 Los_Angeles,10.449999809265137kW,167073.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T04:00:00-07:00 Los_Angeles,10.510000228881836kW,167073.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-22T04:15:00-07:00 Los_Angeles,10.449999809265137kW,167073.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-22T04:30:00-07:00 Los_Angeles,10.510000228881836kW,167073.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-22T04:45:00-07:00 Los_Angeles,10.479999542236328kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T05:00:00-07:00 Los_Angeles,10.470000267028809kW,167075.5hundred_cubic_feet_natural_gas,2kWh
2024-04-22T05:15:00-07:00 Los_Angeles,10.970000267028809kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T05:30:00-07:00 Los_Angeles,10.880000114440918kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T05:45:00-07:00 Los_Angeles,8.779999732971191kW,167075.5hundred_cubic_feet_natural_gas,2kWh
2024-04-22T06:00:00-07:00 Los_Angeles,8.949999809265137kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T06:15:00-07:00 Los_Angeles,14.210000038146973kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T06:30:00-07:00 Los_Angeles,12.6899995803833kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T06:45:00-07:00 Los_Angeles,11.630000114440918kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T07:00:00-07:00 Los_Angeles,10.970000267028809kW,167075.5hundred_cubic_feet_natural_gas,3kWh
2024-04-22T07:15:00-07:00 Los_Angeles,9.9399995803833kW,167084.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-22T07:30:00-07:00 Los_Angeles,8.229999542236328kW,167091.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-22T07:45:00-07:00 Los_Angeles,6.75kW,167091.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-22T08:00:00-07:00 Los_Angeles,4.96999979019165kW,167091.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-22T08:15:00-07:00 Los_Angeles,2.490000009536743kW,167094.109375hundred_cubic_feet_natural_gas,1kWh
2024-04-22T08:30:00-07:00 Los_Angeles,0.20000000298023224kW,167099.203125hundred_cubic_feet_natural_gas,0kWh
2024-04-22T08:45:00-07:00 Los_Angeles,-2.569999933242798kW,167099.203125hundred_cubic_feet_natural_gas,0kWh
2024-04-22T09:00:00-07:00 Los_Angeles,-4.039999961853027kW,167103.296875hundred_cubic_feet_natural_gas,-1kWh
2024-04-22T09:15:00-07:00 Los_Angeles,-6.429999828338623kW,167103.296875hundred_cubic_feet_natural_gas,-1kWh
2024-04-22T09:30:00-07:00 Los_Angeles,-5.449999809265137kW,167103.296875hundred_cubic_feet_natural_gas,-2kWh
2024-04-22T09:45:00-07:00 Los_Angeles,-7.889999866485596kW,167103.296875hundred_cubic_feet_natural_gas,-2kWh
2024-04-22T10:00:00-07:00 Los_Angeles,-10.020000457763672kW,167103.296875hundred_cubic_feet_natural_gas,-2kWh
