Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-14T23:45:00-07:00 Los_Angeles,8.9399995803833kW,166495.609375hundred_cubic_feet_natural_gas,""
2024-04-15T00:00:00-07:00 Los_Angeles,8.970000267028809kW,166496.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-15T00:15:00-07:00 Los_Angeles,8.859999656677246kW,166496.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T00:30:00-07:00 Los_Angeles,8.739999771118164kW,166497.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-15T00:45:00-07:00 Los_Angeles,8.729999542236328kW,166497.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-15T01:00:00-07:00 Los_Angeles,8.770000457763672kW,166497.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-15T01:15:00-07:00 Los_Angeles,8.75kW,166498.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-15T01:30:00-07:00 Los_Angeles,8.779999732971191kW,166498.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T01:45:00-07:00 Los_Angeles,8.6899995803833kW,166499.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T02:00:00-07:00 Los_Angeles,8.699999809265137kW,166499.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T02:15:00-07:00 Los_Angeles,8.829999923706055kW,166499.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-15T02:30:00-07:00 Los_Angeles,8.829999923706055kW,166500.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-15T02:45:00-07:00 Los_Angeles,8.9399995803833kW,166500.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-15T03:00:00-07:00 Los_Angeles,8.829999923706055kW,166501.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T03:15:00-07:00 Los_Angeles,8.829999923706055kW,166501.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T03:30:00-07:00 Los_Angeles,8.800000190734863kW,166502.5hundred_cubic_feet_natural_gas,2kWh
2024-04-15T03:45:00-07:00 Los_Angeles,8.8100004196167kW,166503.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-15T04:00:00-07:00 Los_Angeles,8.75kW,166503.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-15T04:15:00-07:00 Los_Angeles,8.680000305175781kW,166504.5hundred_cubic_feet_natural_gas,2kWh
2024-04-15T04:30:00-07:00 Los_Angeles,8.699999809265137kW,166506.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T04:45:00-07:00 Los_Angeles,8.65999984741211kW,166509.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-15T05:00:00-07:00 Los_Angeles,8.800000190734863kW,166511.5hundred_cubic_feet_natural_gas,2kWh
2024-04-15T05:15:00-07:00 Los_Angeles,9.670000076293945kW,166511.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T05:30:00-07:00 Los_Angeles,9.420000076293945kW,166511.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-15T05:45:00-07:00 Los_Angeles,9.329999923706055kW,166511.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T06:00:00-07:00 Los_Angeles,9.630000114440918kW,166511.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T06:15:00-07:00 Los_Angeles,12.979999542236328kW,166514.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T06:30:00-07:00 Los_Angeles,13.130000114440918kW,166521.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-15T06:45:00-07:00 Los_Angeles,12.010000228881836kW,166527.703125hundred_cubic_feet_natural_gas,4kWh
2024-04-15T07:00:00-07:00 Los_Angeles,11.779999732971191kW,166534.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-15T07:15:00-07:00 Los_Angeles,11.449999809265137kW,166540.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-15T07:30:00-07:00 Los_Angeles,10.880000114440918kW,166545.5hundred_cubic_feet_natural_gas,3kWh
2024-04-15T07:45:00-07:00 Los_Angeles,10.59000015258789kW,166550.5hundred_cubic_feet_natural_gas,3kWh
2024-04-15T08:00:00-07:00 Los_Angeles,9.949999809265137kW,166555.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-15T08:15:00-07:00 Los_Angeles,9.829999923706055kW,166560.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T08:30:00-07:00 Los_Angeles,9.699999809265137kW,166564.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-15T08:45:00-07:00 Los_Angeles,12.829999923706055kW,166569.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-15T09:00:00-07:00 Los_Angeles,11.960000038146973kW,166574.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-15T09:15:00-07:00 Los_Angeles,14.369999885559082kW,166579.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-15T09:30:00-07:00 Los_Angeles,13.140000343322754kW,166584.203125hundred_cubic_feet_natural_gas,4kWh
2024-04-15T09:45:00-07:00 Los_Angeles,11.170000076293945kW,166587.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-15T10:00:00-07:00 Los_Angeles,11.880000114440918kW,166593.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-15T10:15:00-07:00 Los_Angeles,11.220000267028809kW,166597.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-15T10:30:00-07:00 Los_Angeles,7.409999847412109kW,166602.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-15T10:45:00-07:00 Los_Angeles,5.659999847412109kW,166607.90625hundred_cubic_feet_natural_gas,1kWh
2024-04-15T11:00:00-07:00 Los_Angeles,2.700000047683716kW,166610.5hundred_cubic_feet_natural_gas,1kWh
2024-04-15T11:15:00-07:00 Los_Angeles,-0.019999999552965164kW,166613.296875hundred_cubic_feet_natural_gas,0kWh
2024-04-15T11:30:00-07:00 Los_Angeles,-19.440000534057617kW,166617.296875hundred_cubic_feet_natural_gas,-3kWh
2024-04-15T11:45:00-07:00 Los_Angeles,-19.3700008392334kW,166621.40625hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T12:00:00-07:00 Los_Angeles,-16.170000076293945kW,166625.40625hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T12:15:00-07:00 Los_Angeles,-18.149999618530273kW,166626hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T12:30:00-07:00 Los_Angeles,-18.56999969482422kW,166628.796875hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T12:45:00-07:00 Los_Angeles,-15.739999771118164kW,166631.5hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T13:00:00-07:00 Los_Angeles,-17.56999969482422kW,166633.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T13:15:00-07:00 Los_Angeles,-14.25kW,166635hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T13:30:00-07:00 Los_Angeles,-19.850000381469727kW,166636.796875hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T13:45:00-07:00 Los_Angeles,-20.3700008392334kW,166638.796875hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T14:00:00-07:00 Los_Angeles,-20.18000030517578kW,166639.90625hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T14:15:00-07:00 Los_Angeles,-19.709999084472656kW,166642.109375hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T14:30:00-07:00 Los_Angeles,-19.049999237060547kW,166642.109375hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T14:45:00-07:00 Los_Angeles,-16.549999237060547kW,166642.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T15:00:00-07:00 Los_Angeles,-17.8799991607666kW,166647.203125hundred_cubic_feet_natural_gas,-5kWh
2024-04-15T15:15:00-07:00 Los_Angeles,-10.90999984741211kW,166648.109375hundred_cubic_feet_natural_gas,-3kWh
2024-04-15T15:30:00-07:00 Los_Angeles,-13.199999809265137kW,166648.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-15T15:45:00-07:00 Los_Angeles,-14.819999694824219kW,166648.109375hundred_cubic_feet_natural_gas,-3kWh
2024-04-15T16:00:00-07:00 Los_Angeles,-13.25kW,166649.296875hundred_cubic_feet_natural_gas,-3kWh
2024-04-15T16:15:00-07:00 Los_Angeles,-11.5kW,166657.796875hundred_cubic_feet_natural_gas,-3kWh
2024-04-15T16:30:00-07:00 Los_Angeles,-10.109999656677246kW,166659.109375hundred_cubic_feet_natural_gas,-3kWh
