Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-06T23:45:00-07:00 Los_Angeles,8.960000038146973kW,165758hundred_cubic_feet_natural_gas,""
2024-04-07T00:00:00-07:00 Los_Angeles,8.9399995803833kW,165758.5hundred_cubic_feet_natural_gas,2kWh
2024-04-07T00:15:00-07:00 Los_Angeles,8.75kW,165758.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T00:30:00-07:00 Los_Angeles,8.699999809265137kW,165759.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T00:45:00-07:00 Los_Angeles,8.710000038146973kW,165759.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T01:00:00-07:00 Los_Angeles,8.739999771118164kW,165760hundred_cubic_feet_natural_gas,3kWh
2024-04-07T01:15:00-07:00 Los_Angeles,8.800000190734863kW,165760.5hundred_cubic_feet_natural_gas,2kWh
2024-04-07T01:30:00-07:00 Los_Angeles,8.720000267028809kW,165760.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T01:45:00-07:00 Los_Angeles,8.710000038146973kW,165761.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T02:00:00-07:00 Los_Angeles,9.15999984741211kW,165761.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T02:15:00-07:00 Los_Angeles,8.710000038146973kW,165762.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-07T02:30:00-07:00 Los_Angeles,8.880000114440918kW,165762.5hundred_cubic_feet_natural_gas,2kWh
2024-04-07T02:45:00-07:00 Los_Angeles,8.800000190734863kW,165762.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T03:00:00-07:00 Los_Angeles,8.789999961853027kW,165763.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T03:15:00-07:00 Los_Angeles,8.779999732971191kW,165763.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T03:30:00-07:00 Los_Angeles,8.789999961853027kW,165764.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-07T03:45:00-07:00 Los_Angeles,8.869999885559082kW,165764.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T04:00:00-07:00 Los_Angeles,8.680000305175781kW,165764.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T04:15:00-07:00 Los_Angeles,8.670000076293945kW,165765.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T04:30:00-07:00 Los_Angeles,8.710000038146973kW,165765.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T04:45:00-07:00 Los_Angeles,8.65999984741211kW,165766.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T05:00:00-07:00 Los_Angeles,8.789999961853027kW,165766.5hundred_cubic_feet_natural_gas,3kWh
2024-04-07T05:15:00-07:00 Los_Angeles,8.65999984741211kW,165766.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T05:30:00-07:00 Los_Angeles,8.720000267028809kW,165767.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T05:45:00-07:00 Los_Angeles,8.680000305175781kW,165767.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T06:00:00-07:00 Los_Angeles,8.739999771118164kW,165768.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T06:15:00-07:00 Los_Angeles,8.720000267028809kW,165768.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-07T06:30:00-07:00 Los_Angeles,8.65999984741211kW,165769hundred_cubic_feet_natural_gas,2kWh
2024-04-07T06:45:00-07:00 Los_Angeles,7.590000152587891kW,165769.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T07:00:00-07:00 Los_Angeles,7.320000171661377kW,165769.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-07T07:15:00-07:00 Los_Angeles,6.980000019073486kW,165770.203125hundred_cubic_feet_natural_gas,1kWh
2024-04-07T07:30:00-07:00 Los_Angeles,5.909999847412109kW,165770.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T07:45:00-07:00 Los_Angeles,4.570000171661377kW,165771.109375hundred_cubic_feet_natural_gas,1kWh
2024-04-07T08:00:00-07:00 Los_Angeles,3.190000057220459kW,165771.5hundred_cubic_feet_natural_gas,1kWh
2024-04-07T08:15:00-07:00 Los_Angeles,1.3700000047683716kW,165773.40625hundred_cubic_feet_natural_gas,1kWh
2024-04-07T08:30:00-07:00 Los_Angeles,-1.5kW,165775.296875hundred_cubic_feet_natural_gas,0kWh
2024-04-07T08:45:00-07:00 Los_Angeles,-4.409999847412109kW,165777.203125hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T09:00:00-07:00 Los_Angeles,-7.289999961853027kW,165779.203125hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T09:15:00-07:00 Los_Angeles,-10.390000343322754kW,165780.90625hundred_cubic_feet_natural_gas,-3kWh
2024-04-07T09:30:00-07:00 Los_Angeles,-12.430000305175781kW,165782.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T09:45:00-07:00 Los_Angeles,-16.729999542236328kW,165784.5hundred_cubic_feet_natural_gas,-4kWh
2024-04-07T10:00:00-07:00 Los_Angeles,-4.75kW,165786.40625hundred_cubic_feet_natural_gas,-3kWh
2024-04-07T10:15:00-07:00 Los_Angeles,-8.390000343322754kW,165787.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T10:30:00-07:00 Los_Angeles,1.559999942779541kW,165789.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T10:45:00-07:00 Los_Angeles,-23.350000381469727kW,165791hundred_cubic_feet_natural_gas,-6kWh
2024-04-07T11:00:00-07:00 Los_Angeles,1.309999942779541kW,165792.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T11:15:00-07:00 Los_Angeles,-28.15999984741211kW,165793.609375hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T11:30:00-07:00 Los_Angeles,-27.709999084472656kW,165794.203125hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T11:45:00-07:00 Los_Angeles,-27.579999923706055kW,165796.5hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T12:00:00-07:00 Los_Angeles,-28.440000534057617kW,165796.5hundred_cubic_feet_natural_gas,-4kWh
2024-04-07T12:15:00-07:00 Los_Angeles,-27.3799991607666kW,165796.5hundred_cubic_feet_natural_gas,-5kWh
2024-04-07T12:30:00-07:00 Los_Angeles,-27.520000457763672kW,165800.109375hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T12:45:00-07:00 Los_Angeles,-27.440000534057617kW,165800.203125hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T13:00:00-07:00 Los_Angeles,-27.389999389648438kW,165801hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T13:15:00-07:00 Los_Angeles,-27.309999465942383kW,165802.203125hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T13:30:00-07:00 Los_Angeles,-27.59000015258789kW,165802.203125hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T13:45:00-07:00 Los_Angeles,-27.649999618530273kW,165802.203125hundred_cubic_feet_natural_gas,-7kWh
2024-04-07T14:00:00-07:00 Los_Angeles,-27.25kW,165802.203125hundred_cubic_feet_natural_gas,-6kWh
2024-04-07T14:15:00-07:00 Los_Angeles,-26.239999771118164kW,165802.203125hundred_cubic_feet_natural_gas,-6kWh
2024-04-07T14:30:00-07:00 Los_Angeles,-13.149999618530273kW,165802.203125hundred_cubic_feet_natural_gas,-3kWh
2024-04-07T14:45:00-07:00 Los_Angeles,0.5199999809265137kW,165802.203125hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T15:00:00-07:00 Los_Angeles,2.680000066757202kW,165802.796875hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T15:15:00-07:00 Los_Angeles,-16.399999618530273kW,165804.109375hundred_cubic_feet_natural_gas,1kWh
2024-04-07T15:30:00-07:00 Los_Angeles,-25.790000915527344kW,165804.109375hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T15:45:00-07:00 Los_Angeles,-23.010000228881836kW,165804.109375hundred_cubic_feet_natural_gas,-3kWh
2024-04-07T16:00:00-07:00 Los_Angeles,-22.84000015258789kW,165804.109375hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T16:15:00-07:00 Los_Angeles,2.1500000953674316kW,165804.109375hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T16:30:00-07:00 Los_Angeles,-18.25kW,165806.703125hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T16:45:00-07:00 Los_Angeles,4.090000152587891kW,165806.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T17:00:00-07:00 Los_Angeles,-12.270000457763672kW,165806.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-07T17:15:00-07:00 Los_Angeles,-8.020000457763672kW,165806.703125hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T17:30:00-07:00 Los_Angeles,-6.670000076293945kW,165806.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-07T17:45:00-07:00 Los_Angeles,-4.409999847412109kW,165806.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T18:00:00-07:00 Los_Angeles,-0.3400000035762787kW,165806.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-07T18:15:00-07:00 Los_Angeles,2.490000009536743kW,165806.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-07T18:30:00-07:00 Los_Angeles,4.260000228881836kW,165808.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-07T18:45:00-07:00 Los_Angeles,5.570000171661377kW,165809.5hundred_cubic_feet_natural_gas,1kWh
2024-04-07T19:00:00-07:00 Los_Angeles,6.570000171661377kW,165809.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T19:15:00-07:00 Los_Angeles,7.159999847412109kW,165810hundred_cubic_feet_natural_gas,1kWh
2024-04-07T19:30:00-07:00 Los_Angeles,7.670000076293945kW,165810hundred_cubic_feet_natural_gas,2kWh
2024-04-07T19:45:00-07:00 Los_Angeles,7.690000057220459kW,165810.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T20:00:00-07:00 Los_Angeles,9.25kW,165811.5hundred_cubic_feet_natural_gas,2kWh
2024-04-07T20:15:00-07:00 Los_Angeles,9.1899995803833kW,165811.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-07T20:30:00-07:00 Los_Angeles,9.079999923706055kW,165812.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T20:45:00-07:00 Los_Angeles,8.970000267028809kW,165812.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T21:00:00-07:00 Los_Angeles,8.890000343322754kW,165812.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T21:15:00-07:00 Los_Angeles,8.920000076293945kW,165813.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-07T21:30:00-07:00 Los_Angeles,8.920000076293945kW,165813.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T21:45:00-07:00 Los_Angeles,8.989999771118164kW,165814hundred_cubic_feet_natural_gas,2kWh
2024-04-07T22:00:00-07:00 Los_Angeles,8.9399995803833kW,165814.5hundred_cubic_feet_natural_gas,2kWh
2024-04-07T22:15:00-07:00 Los_Angeles,8.90999984741211kW,165814.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-07T22:30:00-07:00 Los_Angeles,8.9399995803833kW,165815.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-07T22:45:00-07:00 Los_Angeles,8.989999771118164kW,165815.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T23:00:00-07:00 Los_Angeles,8.960000038146973kW,165816.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-07T23:15:00-07:00 Los_Angeles,9.020000457763672kW,165816.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-07T23:30:00-07:00 Los_Angeles,9.029999732971191kW,165816.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-07T23:45:00-07:00 Los_Angeles,9.050000190734863kW,165817.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-08T00:00:00-07:00 Los_Angeles,9.050000190734863kW,165817.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T00:15:00-07:00 Los_Angeles,8.829999923706055kW,165818hundred_cubic_feet_natural_gas,3kWh
