Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-11T23:45:00-07:00 Los_Angeles,10.140000343322754kW,166319.40625hundred_cubic_feet_natural_gas,""
2024-04-12T00:00:00-07:00 Los_Angeles,9.779999732971191kW,166319.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-12T00:15:00-07:00 Los_Angeles,8.890000343322754kW,166319.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-12T00:30:00-07:00 Los_Angeles,8.869999885559082kW,166319.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-12T00:45:00-07:00 Los_Angeles,8.770000457763672kW,166320.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-12T01:00:00-07:00 Los_Angeles,8.84000015258789kW,166322.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T01:15:00-07:00 Los_Angeles,8.800000190734863kW,166322.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-12T01:30:00-07:00 Los_Angeles,8.8100004196167kW,166323.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T01:45:00-07:00 Los_Angeles,8.800000190734863kW,166323.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T02:00:00-07:00 Los_Angeles,8.800000190734863kW,166323.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T02:15:00-07:00 Los_Angeles,8.630000114440918kW,166323.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T02:30:00-07:00 Los_Angeles,8.720000267028809kW,166323.5hundred_cubic_feet_natural_gas,2kWh
2024-04-12T02:45:00-07:00 Los_Angeles,8.680000305175781kW,166324.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-12T03:00:00-07:00 Los_Angeles,8.6899995803833kW,166325.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T03:15:00-07:00 Los_Angeles,8.600000381469727kW,166325.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-12T03:30:00-07:00 Los_Angeles,8.649999618530273kW,166325.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T03:45:00-07:00 Los_Angeles,8.680000305175781kW,166325.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T04:00:00-07:00 Los_Angeles,8.8100004196167kW,166325.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T04:15:00-07:00 Los_Angeles,8.770000457763672kW,166325.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-12T04:30:00-07:00 Los_Angeles,8.739999771118164kW,166325.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T04:45:00-07:00 Los_Angeles,8.729999542236328kW,166327.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-12T05:00:00-07:00 Los_Angeles,8.8100004196167kW,166328.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T05:15:00-07:00 Los_Angeles,9.199999809265137kW,166328.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-12T05:30:00-07:00 Los_Angeles,9.020000457763672kW,166329.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-12T05:45:00-07:00 Los_Angeles,8.989999771118164kW,166330.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-12T06:00:00-07:00 Los_Angeles,9.199999809265137kW,166330.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-12T06:15:00-07:00 Los_Angeles,14.449999809265137kW,166331.5hundred_cubic_feet_natural_gas,3kWh
2024-04-12T06:30:00-07:00 Los_Angeles,12.34000015258789kW,166332.296875hundred_cubic_feet_natural_gas,4kWh
2024-04-12T06:45:00-07:00 Los_Angeles,12kW,166333.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-12T07:00:00-07:00 Los_Angeles,11.350000381469727kW,166334.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-12T07:15:00-07:00 Los_Angeles,10.6899995803833kW,166335.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-12T07:30:00-07:00 Los_Angeles,9.75kW,166335.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-12T07:45:00-07:00 Los_Angeles,8.529999732971191kW,166335.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-12T08:00:00-07:00 Los_Angeles,5.53000020980835kW,166335.90625hundred_cubic_feet_natural_gas,1kWh
2024-04-12T08:15:00-07:00 Los_Angeles,5.269999980926514kW,166335.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-12T08:30:00-07:00 Los_Angeles,5.610000133514404kW,166338.5hundred_cubic_feet_natural_gas,1kWh
2024-04-12T08:45:00-07:00 Los_Angeles,0.44999998807907104kW,166344.5hundred_cubic_feet_natural_gas,1kWh
2024-04-12T09:00:00-07:00 Los_Angeles,-1.2899999618530273kW,166347.40625hundred_cubic_feet_natural_gas,1kWh
2024-04-12T09:15:00-07:00 Los_Angeles,-0.8399999737739563kW,166348.5hundred_cubic_feet_natural_gas,0kWh
2024-04-12T09:30:00-07:00 Los_Angeles,-5.5kW,166350.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-12T09:45:00-07:00 Los_Angeles,-7.239999771118164kW,166350.90625hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T10:00:00-07:00 Los_Angeles,-8.770000457763672kW,166354.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T10:15:00-07:00 Los_Angeles,-12.520000457763672kW,166355.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T10:30:00-07:00 Los_Angeles,-13.869999885559082kW,166355.5hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T10:45:00-07:00 Los_Angeles,-15.609999656677246kW,166356hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T11:00:00-07:00 Los_Angeles,-5.389999866485596kW,166358.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-12T11:15:00-07:00 Los_Angeles,-18.5kW,166358.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T11:30:00-07:00 Los_Angeles,-18.610000610351562kW,166358.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-12T11:45:00-07:00 Los_Angeles,-6.130000114440918kW,166358.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T12:00:00-07:00 Los_Angeles,-12.350000381469727kW,166361.609375hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T12:15:00-07:00 Los_Angeles,7.800000190734863kW,166362.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-12T12:30:00-07:00 Los_Angeles,14.170000076293945kW,166362.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-12T12:45:00-07:00 Los_Angeles,14.15999984741211kW,166362.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-12T13:00:00-07:00 Los_Angeles,10.979999542236328kW,166364.296875hundred_cubic_feet_natural_gas,0kWh
2024-04-12T13:15:00-07:00 Los_Angeles,-10.979999542236328kW,166366.703125hundred_cubic_feet_natural_gas,-1kWh
2024-04-12T13:30:00-07:00 Los_Angeles,-10.609999656677246kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T13:45:00-07:00 Los_Angeles,-11.619999885559082kW,166366.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T14:00:00-07:00 Los_Angeles,-11.989999771118164kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T14:15:00-07:00 Los_Angeles,-14.050000190734863kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T14:30:00-07:00 Los_Angeles,-10.100000381469727kW,166366.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T14:45:00-07:00 Los_Angeles,-11.260000228881836kW,166366.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T15:00:00-07:00 Los_Angeles,-14.25kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T15:15:00-07:00 Los_Angeles,-11.510000228881836kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T15:30:00-07:00 Los_Angeles,-17.780000686645508kW,166366.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-12T15:45:00-07:00 Los_Angeles,-16.010000228881836kW,166368.296875hundred_cubic_feet_natural_gas,-5kWh
2024-04-12T16:00:00-07:00 Los_Angeles,-17.760000228881836kW,166373.203125hundred_cubic_feet_natural_gas,-4kWh
2024-04-12T16:15:00-07:00 Los_Angeles,-16.540000915527344kW,166373.203125hundred_cubic_feet_natural_gas,-4kWh
2024-04-12T16:30:00-07:00 Los_Angeles,-11.979999542236328kW,166373.203125hundred_cubic_feet_natural_gas,-4kWh
2024-04-12T16:45:00-07:00 Los_Angeles,-7.949999809265137kW,166373.203125hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T17:00:00-07:00 Los_Angeles,-5.210000038146973kW,166373.296875hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T17:15:00-07:00 Los_Angeles,-6.670000076293945kW,166373.296875hundred_cubic_feet_natural_gas,-1kWh
2024-04-12T17:30:00-07:00 Los_Angeles,-5.019999980926514kW,166374.796875hundred_cubic_feet_natural_gas,-2kWh
2024-04-12T17:45:00-07:00 Los_Angeles,-3.940000057220459kW,166376.703125hundred_cubic_feet_natural_gas,-1kWh
2024-04-12T18:00:00-07:00 Los_Angeles,-0.14000000059604645kW,166376.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-12T18:15:00-07:00 Los_Angeles,5.440000057220459kW,166376.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-12T18:30:00-07:00 Los_Angeles,9.149999618530273kW,166376.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-12T18:45:00-07:00 Los_Angeles,11.130000114440918kW,166376.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-12T19:00:00-07:00 Los_Angeles,12.140000343322754kW,166376.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-12T19:15:00-07:00 Los_Angeles,12.600000381469727kW,166379hundred_cubic_feet_natural_gas,4kWh
2024-04-12T19:30:00-07:00 Los_Angeles,13.050000190734863kW,166379.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-12T19:45:00-07:00 Los_Angeles,13.829999923706055kW,166379.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-12T20:00:00-07:00 Los_Angeles,13.930000305175781kW,166379.5hundred_cubic_feet_natural_gas,3kWh
2024-04-12T20:15:00-07:00 Los_Angeles,13.930000305175781kW,166379.5hundred_cubic_feet_natural_gas,4kWh
2024-04-12T20:30:00-07:00 Los_Angeles,14.09000015258789kW,166379.5hundred_cubic_feet_natural_gas,3kWh
2024-04-12T20:45:00-07:00 Los_Angeles,13.5kW,166379.5hundred_cubic_feet_natural_gas,4kWh
