Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-20T23:45:00-07:00 Los_Angeles,8.600000381469727kW,167036.90625hundred_cubic_feet_natural_gas,""
2024-04-21T00:00:00-07:00 Los_Angeles,8.59000015258789kW,167037.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-21T00:15:00-07:00 Los_Angeles,8.359999656677246kW,167038.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-21T00:30:00-07:00 Los_Angeles,8.369999885559082kW,167038.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T00:45:00-07:00 Los_Angeles,8.470000267028809kW,167038.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-21T01:00:00-07:00 Los_Angeles,8.529999732971191kW,167038.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T01:15:00-07:00 Los_Angeles,8.539999961853027kW,167038.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T01:30:00-07:00 Los_Angeles,8.520000457763672kW,167039.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T01:45:00-07:00 Los_Angeles,8.5kW,167041hundred_cubic_feet_natural_gas,2kWh
2024-04-21T02:00:00-07:00 Los_Angeles,8.569999694824219kW,167041hundred_cubic_feet_natural_gas,2kWh
2024-04-21T02:15:00-07:00 Los_Angeles,8.40999984741211kW,167041.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-21T02:30:00-07:00 Los_Angeles,8.399999618530273kW,167041.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T02:45:00-07:00 Los_Angeles,8.460000038146973kW,167042.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-21T03:00:00-07:00 Los_Angeles,8.420000076293945kW,167042.5hundred_cubic_feet_natural_gas,2kWh
2024-04-21T03:15:00-07:00 Los_Angeles,8.510000228881836kW,167042.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T03:30:00-07:00 Los_Angeles,8.510000228881836kW,167043.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-21T03:45:00-07:00 Los_Angeles,8.479999542236328kW,167043.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-21T04:00:00-07:00 Los_Angeles,8.4399995803833kW,167043.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-21T04:15:00-07:00 Los_Angeles,8.430000305175781kW,167044.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-21T04:30:00-07:00 Los_Angeles,8.65999984741211kW,167044.5hundred_cubic_feet_natural_gas,2kWh
2024-04-21T04:45:00-07:00 Los_Angeles,8.670000076293945kW,167045hundred_cubic_feet_natural_gas,3kWh
2024-04-21T05:00:00-07:00 Los_Angeles,8.539999961853027kW,167045.5hundred_cubic_feet_natural_gas,2kWh
2024-04-21T05:15:00-07:00 Los_Angeles,8.550000190734863kW,167045.5hundred_cubic_feet_natural_gas,2kWh
2024-04-21T05:30:00-07:00 Los_Angeles,8.520000457763672kW,167046.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-21T05:45:00-07:00 Los_Angeles,8.449999809265137kW,167046.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T06:00:00-07:00 Los_Angeles,8.460000038146973kW,167047hundred_cubic_feet_natural_gas,2kWh
2024-04-21T06:15:00-07:00 Los_Angeles,8.40999984741211kW,167047.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-21T06:30:00-07:00 Los_Angeles,7.119999885559082kW,167047.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T06:45:00-07:00 Los_Angeles,6.929999828338623kW,167048.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-21T07:00:00-07:00 Los_Angeles,6.699999809265137kW,167048.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-21T07:15:00-07:00 Los_Angeles,6.170000076293945kW,167048.796875hundred_cubic_feet_natural_gas,1kWh
2024-04-21T07:30:00-07:00 Los_Angeles,4.349999904632568kW,167049hundred_cubic_feet_natural_gas,2kWh
2024-04-21T07:45:00-07:00 Los_Angeles,3.130000114440918kW,167049hundred_cubic_feet_natural_gas,1kWh
2024-04-21T08:00:00-07:00 Los_Angeles,1.399999976158142kW,167049hundred_cubic_feet_natural_gas,0kWh
