Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-02T23:45:00-07:00 Los_Angeles,9.770000457763672kW,165568hundred_cubic_feet_natural_gas,""
2024-04-03T00:00:00-07:00 Los_Angeles,9.609999656677246kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T00:15:00-07:00 Los_Angeles,8.489999771118164kW,165568.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-03T00:30:00-07:00 Los_Angeles,8.489999771118164kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T00:45:00-07:00 Los_Angeles,8.569999694824219kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T01:00:00-07:00 Los_Angeles,8.649999618530273kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T01:15:00-07:00 Los_Angeles,8.619999885559082kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T01:30:00-07:00 Los_Angeles,8.640000343322754kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T01:45:00-07:00 Los_Angeles,8.680000305175781kW,165568.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-03T02:00:00-07:00 Los_Angeles,8.699999809265137kW,165568.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T02:15:00-07:00 Los_Angeles,8.649999618530273kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T02:30:00-07:00 Los_Angeles,8.539999961853027kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T02:45:00-07:00 Los_Angeles,8.539999961853027kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T03:00:00-07:00 Los_Angeles,8.600000381469727kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T03:15:00-07:00 Los_Angeles,8.550000190734863kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T03:30:00-07:00 Los_Angeles,8.510000228881836kW,165571.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-03T03:45:00-07:00 Los_Angeles,8.539999961853027kW,165571.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T04:00:00-07:00 Los_Angeles,8.619999885559082kW,165574.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-03T04:15:00-07:00 Los_Angeles,8.720000267028809kW,165574.5hundred_cubic_feet_natural_gas,2kWh
2024-04-03T04:30:00-07:00 Los_Angeles,8.680000305175781kW,165575hundred_cubic_feet_natural_gas,2kWh
2024-04-03T04:45:00-07:00 Los_Angeles,8.649999618530273kW,165575.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-03T05:00:00-07:00 Los_Angeles,8.649999618530273kW,165575.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-03T05:15:00-07:00 Los_Angeles,8.680000305175781kW,165576hundred_cubic_feet_natural_gas,2kWh
