Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-25T23:45:00-07:00 Los_Angeles,9.800000190734863kW,167440.703125hundred_cubic_feet_natural_gas,""
2024-04-26T00:00:00-07:00 Los_Angeles,9.710000038146973kW,167440.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T00:15:00-07:00 Los_Angeles,8.510000228881836kW,167441hundred_cubic_feet_natural_gas,2kWh
2024-04-26T00:30:00-07:00 Los_Angeles,8.489999771118164kW,167441.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T00:45:00-07:00 Los_Angeles,8.510000228881836kW,167441.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-26T01:00:00-07:00 Los_Angeles,8.600000381469727kW,167441.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T01:15:00-07:00 Los_Angeles,8.539999961853027kW,167442.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T01:30:00-07:00 Los_Angeles,8.470000267028809kW,167442.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T01:45:00-07:00 Los_Angeles,8.5kW,167443hundred_cubic_feet_natural_gas,2kWh
2024-04-26T02:00:00-07:00 Los_Angeles,8.609999656677246kW,167443.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T02:15:00-07:00 Los_Angeles,8.619999885559082kW,167443.5hundred_cubic_feet_natural_gas,2kWh
2024-04-26T02:30:00-07:00 Los_Angeles,8.670000076293945kW,167444.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-26T02:45:00-07:00 Los_Angeles,8.630000114440918kW,167444.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-26T03:00:00-07:00 Los_Angeles,8.5kW,167444.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-26T03:15:00-07:00 Los_Angeles,8.520000457763672kW,167444.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-26T03:30:00-07:00 Los_Angeles,8.609999656677246kW,167445.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T03:45:00-07:00 Los_Angeles,8.640000343322754kW,167445.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T04:00:00-07:00 Los_Angeles,8.670000076293945kW,167445.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T04:15:00-07:00 Los_Angeles,8.619999885559082kW,167445.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-26T04:30:00-07:00 Los_Angeles,8.479999542236328kW,167445.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T04:45:00-07:00 Los_Angeles,8.5kW,167447hundred_cubic_feet_natural_gas,2kWh
2024-04-26T05:00:00-07:00 Los_Angeles,8.479999542236328kW,167448hundred_cubic_feet_natural_gas,2kWh
2024-04-26T05:15:00-07:00 Los_Angeles,9.020000457763672kW,167448.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T05:30:00-07:00 Los_Angeles,9.0600004196167kW,167448.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T05:45:00-07:00 Los_Angeles,8.930000305175781kW,167448.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-26T06:00:00-07:00 Los_Angeles,9.09000015258789kW,167448.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T06:15:00-07:00 Los_Angeles,12.039999961853027kW,167450.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-26T06:30:00-07:00 Los_Angeles,12.510000228881836kW,167451.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-26T06:45:00-07:00 Los_Angeles,12.0600004196167kW,167451.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-26T07:00:00-07:00 Los_Angeles,11.520000457763672kW,167451.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-26T07:15:00-07:00 Los_Angeles,10.949999809265137kW,167454.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-26T07:30:00-07:00 Los_Angeles,10.699999809265137kW,167454.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-26T07:45:00-07:00 Los_Angeles,6.449999809265137kW,167457.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-26T08:00:00-07:00 Los_Angeles,3.8299999237060547kW,167457.40625hundred_cubic_feet_natural_gas,1kWh
2024-04-26T08:15:00-07:00 Los_Angeles,3.069999933242798kW,167457.40625hundred_cubic_feet_natural_gas,1kWh
2024-04-26T08:30:00-07:00 Los_Angeles,0.6700000166893005kW,167457.40625hundred_cubic_feet_natural_gas,1kWh
2024-04-26T08:45:00-07:00 Los_Angeles,-3.680000066757202kW,167463.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-26T09:00:00-07:00 Los_Angeles,-4.170000076293945kW,167463.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-26T09:15:00-07:00 Los_Angeles,-6.119999885559082kW,167467.109375hundred_cubic_feet_natural_gas,0kWh
2024-04-26T09:30:00-07:00 Los_Angeles,-12.069999694824219kW,167468.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-26T09:45:00-07:00 Los_Angeles,-12.880000114440918kW,167469.90625hundred_cubic_feet_natural_gas,-3kWh
2024-04-26T10:00:00-07:00 Los_Angeles,6.71999979019165kW,167469.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-26T10:15:00-07:00 Los_Angeles,10.239999771118164kW,167469.90625hundred_cubic_feet_natural_gas,1kWh
2024-04-26T10:30:00-07:00 Los_Angeles,-7.639999866485596kW,167469.90625hundred_cubic_feet_natural_gas,-2kWh
2024-04-26T10:45:00-07:00 Los_Angeles,2.450000047683716kW,167475.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-26T11:00:00-07:00 Los_Angeles,3.9700000286102295kW,167476.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-26T11:15:00-07:00 Los_Angeles,4.849999904632568kW,167476.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-26T11:30:00-07:00 Los_Angeles,6.409999847412109kW,167477hundred_cubic_feet_natural_gas,-2kWh
2024-04-26T11:45:00-07:00 Los_Angeles,14.550000190734863kW,167477hundred_cubic_feet_natural_gas,2kWh
2024-04-26T12:00:00-07:00 Los_Angeles,8.529999732971191kW,167482.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-26T12:15:00-07:00 Los_Angeles,-7.630000114440918kW,167482.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T12:30:00-07:00 Los_Angeles,13.270000457763672kW,167482.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-26T12:45:00-07:00 Los_Angeles,-12.430000305175781kW,167482.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-26T13:00:00-07:00 Los_Angeles,11.609999656677246kW,167482.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-26T13:15:00-07:00 Los_Angeles,9.989999771118164kW,167483.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-26T13:30:00-07:00 Los_Angeles,12.0600004196167kW,167486.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T13:45:00-07:00 Los_Angeles,12.819999694824219kW,167486.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-26T14:00:00-07:00 Los_Angeles,10.510000228881836kW,167486.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-26T14:15:00-07:00 Los_Angeles,6.480000019073486kW,167486.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T14:30:00-07:00 Los_Angeles,7.510000228881836kW,167489.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-26T14:45:00-07:00 Los_Angeles,-11.399999618530273kW,167490.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-26T15:00:00-07:00 Los_Angeles,-10.420000076293945kW,167490.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-26T15:15:00-07:00 Los_Angeles,-7.980000019073486kW,167491hundred_cubic_feet_natural_gas,-2kWh
2024-04-26T15:30:00-07:00 Los_Angeles,-16.59000015258789kW,167491hundred_cubic_feet_natural_gas,-2kWh
2024-04-26T15:45:00-07:00 Los_Angeles,-13.1899995803833kW,167491hundred_cubic_feet_natural_gas,-4kWh
2024-04-26T16:00:00-07:00 Los_Angeles,-14.319999694824219kW,167491hundred_cubic_feet_natural_gas,-3kWh
2024-04-26T16:15:00-07:00 Los_Angeles,-12.649999618530273kW,167497.5hundred_cubic_feet_natural_gas,-3kWh
2024-04-26T16:30:00-07:00 Los_Angeles,-10.010000228881836kW,167497.796875hundred_cubic_feet_natural_gas,-2kWh
