Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-22T23:45:00-07:00 Los_Angeles,9.65999984741211kW,167133.703125hundred_cubic_feet_natural_gas,""
2024-04-23T00:00:00-07:00 Los_Angeles,9.630000114440918kW,167133.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-23T00:15:00-07:00 Los_Angeles,8.5kW,167133.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T00:30:00-07:00 Los_Angeles,8.40999984741211kW,167133.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T00:45:00-07:00 Los_Angeles,8.430000305175781kW,167133.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T01:00:00-07:00 Los_Angeles,8.4399995803833kW,167133.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T01:15:00-07:00 Los_Angeles,8.4399995803833kW,167136.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-23T01:30:00-07:00 Los_Angeles,8.399999618530273kW,167136.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T01:45:00-07:00 Los_Angeles,8.399999618530273kW,167136.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T02:00:00-07:00 Los_Angeles,8.390000343322754kW,167137.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-23T02:15:00-07:00 Los_Angeles,8.399999618530273kW,167137.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-23T02:30:00-07:00 Los_Angeles,8.4399995803833kW,167138hundred_cubic_feet_natural_gas,2kWh
2024-04-23T02:45:00-07:00 Los_Angeles,8.5600004196167kW,167138.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-23T03:00:00-07:00 Los_Angeles,8.510000228881836kW,167138.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T03:15:00-07:00 Los_Angeles,8.539999961853027kW,167139hundred_cubic_feet_natural_gas,3kWh
2024-04-23T03:30:00-07:00 Los_Angeles,8.520000457763672kW,167139.5hundred_cubic_feet_natural_gas,2kWh
2024-04-23T03:45:00-07:00 Los_Angeles,8.609999656677246kW,167139.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T04:00:00-07:00 Los_Angeles,8.390000343322754kW,167140.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T04:15:00-07:00 Los_Angeles,8.40999984741211kW,167140.5hundred_cubic_feet_natural_gas,2kWh
2024-04-23T04:30:00-07:00 Los_Angeles,8.399999618530273kW,167140.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-23T04:45:00-07:00 Los_Angeles,8.40999984741211kW,167140.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-23T05:00:00-07:00 Los_Angeles,8.470000267028809kW,167140.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T05:15:00-07:00 Los_Angeles,8.890000343322754kW,167145.5hundred_cubic_feet_natural_gas,3kWh
2024-04-23T05:30:00-07:00 Los_Angeles,8.770000457763672kW,167147.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T05:45:00-07:00 Los_Angeles,8.90999984741211kW,167148.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T06:00:00-07:00 Los_Angeles,8.979999542236328kW,167150.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T06:15:00-07:00 Los_Angeles,13.819999694824219kW,167151.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-23T06:30:00-07:00 Los_Angeles,12.84000015258789kW,167152.5hundred_cubic_feet_natural_gas,3kWh
2024-04-23T06:45:00-07:00 Los_Angeles,11.869999885559082kW,167153.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-23T07:00:00-07:00 Los_Angeles,10.529999732971191kW,167154.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-23T07:15:00-07:00 Los_Angeles,9.460000038146973kW,167156.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-23T07:30:00-07:00 Los_Angeles,8.779999732971191kW,167158.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-23T07:45:00-07:00 Los_Angeles,8.300000190734863kW,167160.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T08:00:00-07:00 Los_Angeles,7.289999961853027kW,167162.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-23T08:15:00-07:00 Los_Angeles,5.039999961853027kW,167164.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-23T08:30:00-07:00 Los_Angeles,4.170000076293945kW,167165.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-23T08:45:00-07:00 Los_Angeles,8.180000305175781kW,167169.609375hundred_cubic_feet_natural_gas,0kWh
2024-04-23T09:00:00-07:00 Los_Angeles,7.039999961853027kW,167169.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-23T09:15:00-07:00 Los_Angeles,3.200000047683716kW,167172.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-23T09:30:00-07:00 Los_Angeles,-11.300000190734863kW,167175.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-23T09:45:00-07:00 Los_Angeles,2.3399999141693115kW,167175.703125hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T10:00:00-07:00 Los_Angeles,8.899999618530273kW,167178hundred_cubic_feet_natural_gas,1kWh
2024-04-23T10:15:00-07:00 Los_Angeles,-12.260000228881836kW,167179hundred_cubic_feet_natural_gas,0kWh
2024-04-23T10:30:00-07:00 Los_Angeles,0.5099999904632568kW,167180.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T10:45:00-07:00 Los_Angeles,4.510000228881836kW,167182.203125hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T11:00:00-07:00 Los_Angeles,6.730000019073486kW,167182.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T11:15:00-07:00 Los_Angeles,7.28000020980835kW,167185.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-23T11:30:00-07:00 Los_Angeles,8.170000076293945kW,167186.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-23T11:45:00-07:00 Los_Angeles,-13.029999732971191kW,167186.203125hundred_cubic_feet_natural_gas,0kWh
2024-04-23T12:00:00-07:00 Los_Angeles,7.210000038146973kW,167186.203125hundred_cubic_feet_natural_gas,1kWh
2024-04-23T12:15:00-07:00 Los_Angeles,5kW,167190.5hundred_cubic_feet_natural_gas,2kWh
2024-04-23T12:30:00-07:00 Los_Angeles,-16.56999969482422kW,167192.40625hundred_cubic_feet_natural_gas,0kWh
2024-04-23T12:45:00-07:00 Los_Angeles,-4.349999904632568kW,167192.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T13:00:00-07:00 Los_Angeles,-4.230000019073486kW,167192.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T13:15:00-07:00 Los_Angeles,-6.269999980926514kW,167194.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T13:30:00-07:00 Los_Angeles,-2.0799999237060547kW,167195.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-23T13:45:00-07:00 Los_Angeles,-4.070000171661377kW,167198.40625hundred_cubic_feet_natural_gas,-3kWh
2024-04-23T14:00:00-07:00 Los_Angeles,-16.889999389648438kW,167198.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T14:15:00-07:00 Los_Angeles,-17.540000915527344kW,167198.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T14:30:00-07:00 Los_Angeles,-18.40999984741211kW,167201.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T14:45:00-07:00 Los_Angeles,-2.0399999618530273kW,167207.296875hundred_cubic_feet_natural_gas,-3kWh
2024-04-23T15:00:00-07:00 Los_Angeles,-10.119999885559082kW,167210hundred_cubic_feet_natural_gas,-1kWh
2024-04-23T15:15:00-07:00 Los_Angeles,-13.369999885559082kW,167210hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T15:30:00-07:00 Los_Angeles,-22.93000030517578kW,167210hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T15:45:00-07:00 Los_Angeles,-3.2300000190734863kW,167210hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T16:00:00-07:00 Los_Angeles,-20.799999237060547kW,167210hundred_cubic_feet_natural_gas,-2kWh
2024-04-23T16:15:00-07:00 Los_Angeles,-10.130000114440918kW,167210hundred_cubic_feet_natural_gas,-3kWh
