Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-04T23:45:00-07:00 Los_Angeles,9.770000457763672kW,165662.203125hundred_cubic_feet_natural_gas,""
2024-04-05T00:00:00-07:00 Los_Angeles,9.869999885559082kW,165662.5hundred_cubic_feet_natural_gas,3kWh
2024-04-05T00:15:00-07:00 Los_Angeles,8.680000305175781kW,165663hundred_cubic_feet_natural_gas,2kWh
2024-04-05T00:30:00-07:00 Los_Angeles,8.65999984741211kW,165663.5hundred_cubic_feet_natural_gas,2kWh
2024-04-05T00:45:00-07:00 Los_Angeles,8.5600004196167kW,165663.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-05T01:00:00-07:00 Los_Angeles,8.65999984741211kW,165664.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-05T01:15:00-07:00 Los_Angeles,8.609999656677246kW,165664.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-05T01:30:00-07:00 Los_Angeles,8.600000381469727kW,165665.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-05T01:45:00-07:00 Los_Angeles,8.550000190734863kW,165665.5hundred_cubic_feet_natural_gas,2kWh
2024-04-05T02:00:00-07:00 Los_Angeles,8.569999694824219kW,165666hundred_cubic_feet_natural_gas,2kWh
2024-04-05T02:15:00-07:00 Los_Angeles,8.600000381469727kW,165666.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-05T02:30:00-07:00 Los_Angeles,8.630000114440918kW,165667hundred_cubic_feet_natural_gas,2kWh
2024-04-05T02:45:00-07:00 Los_Angeles,8.579999923706055kW,165667.5hundred_cubic_feet_natural_gas,2kWh
2024-04-05T03:00:00-07:00 Los_Angeles,8.699999809265137kW,165668hundred_cubic_feet_natural_gas,3kWh
2024-04-05T03:15:00-07:00 Los_Angeles,8.699999809265137kW,165668.5hundred_cubic_feet_natural_gas,2kWh
2024-04-05T03:30:00-07:00 Los_Angeles,8.720000267028809kW,165669.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-05T03:45:00-07:00 Los_Angeles,8.710000038146973kW,165669.5hundred_cubic_feet_natural_gas,2kWh
2024-04-05T04:00:00-07:00 Los_Angeles,8.649999618530273kW,165670.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-05T04:15:00-07:00 Los_Angeles,8.539999961853027kW,165670.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-05T04:30:00-07:00 Los_Angeles,8.579999923706055kW,165671.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-05T04:45:00-07:00 Los_Angeles,8.640000343322754kW,165671.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T05:00:00-07:00 Los_Angeles,8.529999732971191kW,165672.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T05:15:00-07:00 Los_Angeles,8.550000190734863kW,165672.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T05:30:00-07:00 Los_Angeles,8.569999694824219kW,165673.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T05:45:00-07:00 Los_Angeles,8.75kW,165673.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T06:00:00-07:00 Los_Angeles,8.949999809265137kW,165674.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-05T06:15:00-07:00 Los_Angeles,9.899999618530273kW,165674.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T06:30:00-07:00 Los_Angeles,9.699999809265137kW,165675.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-05T06:45:00-07:00 Los_Angeles,9.529999732971191kW,165675.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-05T07:00:00-07:00 Los_Angeles,8.84000015258789kW,165676.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-05T07:15:00-07:00 Los_Angeles,11.1899995803833kW,165678.109375hundred_cubic_feet_natural_gas,3kWh
