Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-19T23:45:00-07:00 Los_Angeles,9.539999961853027kW,167007.296875hundred_cubic_feet_natural_gas,""
2024-04-20T00:00:00-07:00 Los_Angeles,9.5600004196167kW,167007.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-20T00:15:00-07:00 Los_Angeles,8.539999961853027kW,167007.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-20T00:30:00-07:00 Los_Angeles,8.4399995803833kW,167007.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-20T00:45:00-07:00 Los_Angeles,8.350000381469727kW,167007.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-20T01:00:00-07:00 Los_Angeles,8.319999694824219kW,167008.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-20T01:15:00-07:00 Los_Angeles,8.350000381469727kW,167009.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-20T01:30:00-07:00 Los_Angeles,8.449999809265137kW,167009.5hundred_cubic_feet_natural_gas,2kWh
2024-04-20T01:45:00-07:00 Los_Angeles,8.380000114440918kW,167010hundred_cubic_feet_natural_gas,2kWh
2024-04-20T02:00:00-07:00 Los_Angeles,8.390000343322754kW,167010.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-20T02:15:00-07:00 Los_Angeles,8.420000076293945kW,167010.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-20T02:30:00-07:00 Los_Angeles,8.380000114440918kW,167011.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T02:45:00-07:00 Los_Angeles,8.609999656677246kW,167011.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T03:00:00-07:00 Los_Angeles,8.600000381469727kW,167011.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-20T03:15:00-07:00 Los_Angeles,8.529999732971191kW,167011.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T03:30:00-07:00 Los_Angeles,8.5kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T03:45:00-07:00 Los_Angeles,8.529999732971191kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T04:00:00-07:00 Los_Angeles,8.600000381469727kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T04:15:00-07:00 Los_Angeles,8.600000381469727kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T04:30:00-07:00 Los_Angeles,8.399999618530273kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T04:45:00-07:00 Los_Angeles,8.4399995803833kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T05:00:00-07:00 Los_Angeles,8.40999984741211kW,167012.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-20T05:15:00-07:00 Los_Angeles,8.489999771118164kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T05:30:00-07:00 Los_Angeles,8.460000038146973kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T05:45:00-07:00 Los_Angeles,8.420000076293945kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T06:00:00-07:00 Los_Angeles,8.359999656677246kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T06:15:00-07:00 Los_Angeles,8.369999885559082kW,167012.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T06:30:00-07:00 Los_Angeles,7.679999828338623kW,167015.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T06:45:00-07:00 Los_Angeles,7.269999980926514kW,167016.5hundred_cubic_feet_natural_gas,2kWh
2024-04-20T07:00:00-07:00 Los_Angeles,6.78000020980835kW,167016.5hundred_cubic_feet_natural_gas,2kWh
2024-04-20T07:15:00-07:00 Los_Angeles,5.949999809265137kW,167016.5hundred_cubic_feet_natural_gas,1kWh
2024-04-20T07:30:00-07:00 Los_Angeles,7.260000228881836kW,167017.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T07:45:00-07:00 Los_Angeles,5.869999885559082kW,167018.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-20T08:00:00-07:00 Los_Angeles,7.119999885559082kW,167018.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-20T08:15:00-07:00 Los_Angeles,2.8399999141693115kW,167018.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-20T08:30:00-07:00 Los_Angeles,-1.9500000476837158kW,167018.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-20T08:45:00-07:00 Los_Angeles,-7.090000152587891kW,167018.609375hundred_cubic_feet_natural_gas,-1kWh
2024-04-20T09:00:00-07:00 Los_Angeles,-9.430000305175781kW,167023hundred_cubic_feet_natural_gas,-2kWh
