Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-07T23:45:00-07:00 Los_Angeles,9.050000190734863kW,165817.203125hundred_cubic_feet_natural_gas,""
2024-04-08T00:00:00-07:00 Los_Angeles,9.050000190734863kW,165817.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T00:15:00-07:00 Los_Angeles,8.829999923706055kW,165818hundred_cubic_feet_natural_gas,3kWh
2024-04-08T00:30:00-07:00 Los_Angeles,8.779999732971191kW,165818.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-08T00:45:00-07:00 Los_Angeles,8.770000457763672kW,165818.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-08T01:00:00-07:00 Los_Angeles,8.829999923706055kW,165819.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-08T01:15:00-07:00 Los_Angeles,8.789999961853027kW,165819.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T01:30:00-07:00 Los_Angeles,8.8100004196167kW,165820hundred_cubic_feet_natural_gas,3kWh
2024-04-08T01:45:00-07:00 Los_Angeles,8.770000457763672kW,165820.5hundred_cubic_feet_natural_gas,2kWh
2024-04-08T02:00:00-07:00 Los_Angeles,8.710000038146973kW,165820.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-08T02:15:00-07:00 Los_Angeles,8.739999771118164kW,165821.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-08T02:30:00-07:00 Los_Angeles,8.8100004196167kW,165821.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-08T02:45:00-07:00 Los_Angeles,8.789999961853027kW,165822.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-08T03:00:00-07:00 Los_Angeles,8.859999656677246kW,165822.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-08T03:15:00-07:00 Los_Angeles,8.8100004196167kW,165823.5hundred_cubic_feet_natural_gas,2kWh
2024-04-08T03:30:00-07:00 Los_Angeles,8.779999732971191kW,165824.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-08T03:45:00-07:00 Los_Angeles,8.869999885559082kW,165825hundred_cubic_feet_natural_gas,2kWh
2024-04-08T04:00:00-07:00 Los_Angeles,8.8100004196167kW,165825.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-08T04:15:00-07:00 Los_Angeles,8.649999618530273kW,165827.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-08T04:30:00-07:00 Los_Angeles,8.699999809265137kW,165830.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T04:45:00-07:00 Los_Angeles,8.6899995803833kW,165832.5hundred_cubic_feet_natural_gas,2kWh
2024-04-08T05:00:00-07:00 Los_Angeles,8.75kW,165835.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-08T05:15:00-07:00 Los_Angeles,9.6899995803833kW,165840.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-08T05:30:00-07:00 Los_Angeles,9.4399995803833kW,165845.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-08T05:45:00-07:00 Los_Angeles,9.40999984741211kW,165851.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T06:00:00-07:00 Los_Angeles,9.710000038146973kW,165856.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-08T06:15:00-07:00 Los_Angeles,12.9399995803833kW,165861.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-08T06:30:00-07:00 Los_Angeles,12.489999771118164kW,165867.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-08T06:45:00-07:00 Los_Angeles,11.619999885559082kW,165871.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-08T07:00:00-07:00 Los_Angeles,11.470000267028809kW,165876.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-08T07:15:00-07:00 Los_Angeles,10.920000076293945kW,165881.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-08T07:30:00-07:00 Los_Angeles,10.010000228881836kW,165887.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-08T07:45:00-07:00 Los_Angeles,8.829999923706055kW,165892.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-08T08:00:00-07:00 Los_Angeles,6.889999866485596kW,165897.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-08T08:15:00-07:00 Los_Angeles,5.329999923706055kW,165902.90625hundred_cubic_feet_natural_gas,1kWh
2024-04-08T08:30:00-07:00 Los_Angeles,4.579999923706055kW,165908.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-08T08:45:00-07:00 Los_Angeles,2.2300000190734863kW,165915hundred_cubic_feet_natural_gas,1kWh
2024-04-08T09:00:00-07:00 Los_Angeles,-1.2799999713897705kW,165918.5hundred_cubic_feet_natural_gas,1kWh
2024-04-08T09:15:00-07:00 Los_Angeles,-4.079999923706055kW,165918.5hundred_cubic_feet_natural_gas,0kWh
2024-04-08T09:30:00-07:00 Los_Angeles,-7.119999885559082kW,165923.796875hundred_cubic_feet_natural_gas,-2kWh
