Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-09T23:45:00-07:00 Los_Angeles,9.920000076293945kW,166130.40625hundred_cubic_feet_natural_gas,""
2024-04-10T00:00:00-07:00 Los_Angeles,10.15999984741211kW,166130.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-10T00:15:00-07:00 Los_Angeles,8.859999656677246kW,166134hundred_cubic_feet_natural_gas,3kWh
2024-04-10T00:30:00-07:00 Los_Angeles,8.779999732971191kW,166134hundred_cubic_feet_natural_gas,2kWh
2024-04-10T00:45:00-07:00 Los_Angeles,8.710000038146973kW,166134hundred_cubic_feet_natural_gas,2kWh
2024-04-10T01:00:00-07:00 Los_Angeles,8.779999732971191kW,166134hundred_cubic_feet_natural_gas,2kWh
2024-04-10T01:15:00-07:00 Los_Angeles,8.729999542236328kW,166134.5hundred_cubic_feet_natural_gas,2kWh
2024-04-10T01:30:00-07:00 Los_Angeles,8.65999984741211kW,166134.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-10T01:45:00-07:00 Los_Angeles,8.600000381469727kW,166135.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-10T02:00:00-07:00 Los_Angeles,8.630000114440918kW,166135.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-10T02:15:00-07:00 Los_Angeles,8.59000015258789kW,166136hundred_cubic_feet_natural_gas,2kWh
2024-04-10T02:30:00-07:00 Los_Angeles,8.699999809265137kW,166136.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-10T02:45:00-07:00 Los_Angeles,8.729999542236328kW,166136.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-10T03:00:00-07:00 Los_Angeles,8.720000267028809kW,166137.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-10T03:15:00-07:00 Los_Angeles,8.760000228881836kW,166137.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-10T03:30:00-07:00 Los_Angeles,8.8100004196167kW,166138hundred_cubic_feet_natural_gas,2kWh
2024-04-10T03:45:00-07:00 Los_Angeles,8.8100004196167kW,166138.203125hundred_cubic_feet_natural_gas,2kWh
