Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-13T23:45:00-07:00 Los_Angeles,9.050000190734863kW,166439.109375hundred_cubic_feet_natural_gas,""
2024-04-14T00:00:00-07:00 Los_Angeles,9.149999618530273kW,166439.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-14T00:15:00-07:00 Los_Angeles,8.880000114440918kW,166440.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-14T00:30:00-07:00 Los_Angeles,8.869999885559082kW,166440.5hundred_cubic_feet_natural_gas,2kWh
2024-04-14T00:45:00-07:00 Los_Angeles,8.84000015258789kW,166440.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T01:00:00-07:00 Los_Angeles,8.979999542236328kW,166441.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-14T01:15:00-07:00 Los_Angeles,8.779999732971191kW,166441.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-14T01:30:00-07:00 Los_Angeles,8.6899995803833kW,166442.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-14T01:45:00-07:00 Los_Angeles,8.6899995803833kW,166442.5hundred_cubic_feet_natural_gas,2kWh
2024-04-14T02:00:00-07:00 Los_Angeles,8.6899995803833kW,166442.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T02:15:00-07:00 Los_Angeles,8.760000228881836kW,166443.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T02:30:00-07:00 Los_Angeles,8.739999771118164kW,166443.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-14T02:45:00-07:00 Los_Angeles,8.699999809265137kW,166444.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-14T03:00:00-07:00 Los_Angeles,8.720000267028809kW,166444.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-14T03:15:00-07:00 Los_Angeles,8.760000228881836kW,166444.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T03:30:00-07:00 Los_Angeles,8.819999694824219kW,166445.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T03:45:00-07:00 Los_Angeles,8.800000190734863kW,166445.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-14T04:00:00-07:00 Los_Angeles,8.84000015258789kW,166446.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-14T04:15:00-07:00 Los_Angeles,8.800000190734863kW,166446.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-14T04:30:00-07:00 Los_Angeles,8.84000015258789kW,166447.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-14T04:45:00-07:00 Los_Angeles,8.90999984741211kW,166447.5hundred_cubic_feet_natural_gas,2kWh
2024-04-14T05:00:00-07:00 Los_Angeles,8.84000015258789kW,166447.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T05:15:00-07:00 Los_Angeles,8.710000038146973kW,166448.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-14T05:30:00-07:00 Los_Angeles,8.710000038146973kW,166448.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-14T05:45:00-07:00 Los_Angeles,8.699999809265137kW,166449.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-14T06:00:00-07:00 Los_Angeles,8.8100004196167kW,166449.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-14T06:15:00-07:00 Los_Angeles,8.680000305175781kW,166450hundred_cubic_feet_natural_gas,2kWh
2024-04-14T06:30:00-07:00 Los_Angeles,8.6899995803833kW,166450.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-14T06:45:00-07:00 Los_Angeles,7.610000133514404kW,166450.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-14T07:00:00-07:00 Los_Angeles,7.300000190734863kW,166451.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-14T07:15:00-07:00 Los_Angeles,6.679999828338623kW,166451.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-14T07:30:00-07:00 Los_Angeles,4.960000038146973kW,166452.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-14T07:45:00-07:00 Los_Angeles,3.0899999141693115kW,166452.5hundred_cubic_feet_natural_gas,1kWh
