Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-03-31T23:45:00-07:00 Los_Angeles,9kW,165489.296875hundred_cubic_feet_natural_gas,""
2024-04-01T00:00:00-07:00 Los_Angeles,8.979999542236328kW,165489.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-01T00:15:00-07:00 Los_Angeles,8.739999771118164kW,165490.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-01T00:30:00-07:00 Los_Angeles,8.720000267028809kW,165490.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-01T00:45:00-07:00 Los_Angeles,8.770000457763672kW,165490.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-01T01:00:00-07:00 Los_Angeles,8.720000267028809kW,165491.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-01T01:15:00-07:00 Los_Angeles,8.670000076293945kW,165491.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-01T01:30:00-07:00 Los_Angeles,8.680000305175781kW,165492.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-01T01:45:00-07:00 Los_Angeles,8.65999984741211kW,165492.5hundred_cubic_feet_natural_gas,2kWh
2024-04-01T02:00:00-07:00 Los_Angeles,8.739999771118164kW,165492.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-01T02:15:00-07:00 Los_Angeles,8.739999771118164kW,165493.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-01T02:30:00-07:00 Los_Angeles,8.640000343322754kW,165493.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-01T02:45:00-07:00 Los_Angeles,8.65999984741211kW,165494.5hundred_cubic_feet_natural_gas,2kWh
2024-04-01T03:00:00-07:00 Los_Angeles,8.640000343322754kW,165494.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-01T03:15:00-07:00 Los_Angeles,8.710000038146973kW,165495.40625hundred_cubic_feet_natural_gas,2kWh
