Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-08T23:45:00-07:00 Los_Angeles,8.850000381469727kW,166021.40625hundred_cubic_feet_natural_gas,""
2024-04-09T00:00:00-07:00 Los_Angeles,8.779999732971191kW,166021.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-09T00:15:00-07:00 Los_Angeles,8.609999656677246kW,166022hundred_cubic_feet_natural_gas,3kWh
2024-04-09T00:30:00-07:00 Los_Angeles,8.640000343322754kW,166022.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-09T00:45:00-07:00 Los_Angeles,8.779999732971191kW,166023hundred_cubic_feet_natural_gas,2kWh
2024-04-09T01:00:00-07:00 Los_Angeles,8.8100004196167kW,166023.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-09T01:15:00-07:00 Los_Angeles,8.6899995803833kW,166023.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-09T01:30:00-07:00 Los_Angeles,8.699999809265137kW,166024hundred_cubic_feet_natural_gas,2kWh
2024-04-09T01:45:00-07:00 Los_Angeles,8.680000305175781kW,166024.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-09T02:00:00-07:00 Los_Angeles,8.65999984741211kW,166024.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-09T02:15:00-07:00 Los_Angeles,8.569999694824219kW,166025.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-09T02:30:00-07:00 Los_Angeles,8.600000381469727kW,166025.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-09T02:45:00-07:00 Los_Angeles,8.609999656677246kW,166026hundred_cubic_feet_natural_gas,2kWh
2024-04-09T03:00:00-07:00 Los_Angeles,8.600000381469727kW,166026.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-09T03:15:00-07:00 Los_Angeles,8.630000114440918kW,166026.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-09T03:30:00-07:00 Los_Angeles,8.59000015258789kW,166027.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-09T03:45:00-07:00 Los_Angeles,8.579999923706055kW,166027.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-09T04:00:00-07:00 Los_Angeles,8.699999809265137kW,166028.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-09T04:15:00-07:00 Los_Angeles,8.779999732971191kW,166028.609375hundred_cubic_feet_natural_gas,2kWh
