Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-01T23:45:00-07:00 Los_Angeles,9.829999923706055kW,165533.109375hundred_cubic_feet_natural_gas,""
2024-04-02T00:00:00-07:00 Los_Angeles,9.729999542236328kW,165533.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-02T00:15:00-07:00 Los_Angeles,8.5600004196167kW,165533.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-02T00:30:00-07:00 Los_Angeles,8.550000190734863kW,165534.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T00:45:00-07:00 Los_Angeles,8.569999694824219kW,165534.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T01:00:00-07:00 Los_Angeles,8.649999618530273kW,165535.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-02T01:15:00-07:00 Los_Angeles,8.670000076293945kW,165535.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-02T01:30:00-07:00 Los_Angeles,8.729999542236328kW,165535.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-02T01:45:00-07:00 Los_Angeles,8.699999809265137kW,165536.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T02:00:00-07:00 Los_Angeles,8.770000457763672kW,165536.5hundred_cubic_feet_natural_gas,2kWh
2024-04-02T02:15:00-07:00 Los_Angeles,8.739999771118164kW,165537hundred_cubic_feet_natural_gas,2kWh
2024-04-02T02:30:00-07:00 Los_Angeles,8.510000228881836kW,165537.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-02T02:45:00-07:00 Los_Angeles,8.600000381469727kW,165537.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T03:00:00-07:00 Los_Angeles,8.529999732971191kW,165538.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-02T03:15:00-07:00 Los_Angeles,8.670000076293945kW,165538.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-02T03:30:00-07:00 Los_Angeles,8.520000457763672kW,165538.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T03:45:00-07:00 Los_Angeles,8.529999732971191kW,165538.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T04:00:00-07:00 Los_Angeles,8.529999732971191kW,165539.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-02T04:15:00-07:00 Los_Angeles,8.609999656677246kW,165540.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-02T04:30:00-07:00 Los_Angeles,8.569999694824219kW,165540.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-02T04:45:00-07:00 Los_Angeles,8.630000114440918kW,165540.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-02T05:00:00-07:00 Los_Angeles,8.630000114440918kW,165541.5hundred_cubic_feet_natural_gas,2kWh
2024-04-02T05:15:00-07:00 Los_Angeles,8.630000114440918kW,165542hundred_cubic_feet_natural_gas,2kWh
2024-04-02T05:30:00-07:00 Los_Angeles,8.739999771118164kW,165542.5hundred_cubic_feet_natural_gas,2kWh
2024-04-02T05:45:00-07:00 Los_Angeles,8.640000343322754kW,165543hundred_cubic_feet_natural_gas,2kWh
2024-04-02T06:00:00-07:00 Los_Angeles,8.510000228881836kW,165543.40625hundred_cubic_feet_natural_gas,2kWh
