Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-18T23:45:00-07:00 Los_Angeles,9.760000228881836kW,166939.5hundred_cubic_feet_natural_gas,""
2024-04-19T00:00:00-07:00 Los_Angeles,9.75kW,166939.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T00:15:00-07:00 Los_Angeles,8.859999656677246kW,166939.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T00:30:00-07:00 Los_Angeles,8.8100004196167kW,166939.5hundred_cubic_feet_natural_gas,3kWh
2024-04-19T00:45:00-07:00 Los_Angeles,8.789999961853027kW,166939.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T01:00:00-07:00 Los_Angeles,8.789999961853027kW,166939.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T01:15:00-07:00 Los_Angeles,8.800000190734863kW,166939.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T01:30:00-07:00 Los_Angeles,8.699999809265137kW,166943.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T01:45:00-07:00 Los_Angeles,8.729999542236328kW,166943.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-19T02:00:00-07:00 Los_Angeles,8.649999618530273kW,166943.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T02:15:00-07:00 Los_Angeles,8.6899995803833kW,166943.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-19T02:30:00-07:00 Los_Angeles,8.649999618530273kW,166943.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-19T02:45:00-07:00 Los_Angeles,8.770000457763672kW,166944.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T03:00:00-07:00 Los_Angeles,8.75kW,166944.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-19T03:15:00-07:00 Los_Angeles,8.819999694824219kW,166944.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-19T03:30:00-07:00 Los_Angeles,8.779999732971191kW,166945.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-19T03:45:00-07:00 Los_Angeles,8.800000190734863kW,166945.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T04:00:00-07:00 Los_Angeles,8.859999656677246kW,166945.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-19T04:15:00-07:00 Los_Angeles,8.850000381469727kW,166946.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-19T04:30:00-07:00 Los_Angeles,8.6899995803833kW,166946.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-19T04:45:00-07:00 Los_Angeles,8.670000076293945kW,166947.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-19T05:00:00-07:00 Los_Angeles,8.65999984741211kW,166947.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-19T05:15:00-07:00 Los_Angeles,9.170000076293945kW,166948.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T05:30:00-07:00 Los_Angeles,9.130000114440918kW,166949hundred_cubic_feet_natural_gas,3kWh
2024-04-19T05:45:00-07:00 Los_Angeles,8.989999771118164kW,166949.5hundred_cubic_feet_natural_gas,2kWh
2024-04-19T06:00:00-07:00 Los_Angeles,9.260000228881836kW,166950.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T06:15:00-07:00 Los_Angeles,14.260000228881836kW,166950.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-19T06:30:00-07:00 Los_Angeles,12.609999656677246kW,166951.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-19T06:45:00-07:00 Los_Angeles,12.239999771118164kW,166951.796875hundred_cubic_feet_natural_gas,4kWh
2024-04-19T07:00:00-07:00 Los_Angeles,11.300000190734863kW,166952.5hundred_cubic_feet_natural_gas,3kWh
2024-04-19T07:15:00-07:00 Los_Angeles,10.899999618530273kW,166953.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-19T07:30:00-07:00 Los_Angeles,9.8100004196167kW,166955.296875hundred_cubic_feet_natural_gas,3kWh
