Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-17T23:45:00-07:00 Los_Angeles,9.800000190734863kW,166866.203125hundred_cubic_feet_natural_gas,""
2024-04-18T00:00:00-07:00 Los_Angeles,9.699999809265137kW,166866.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-18T00:15:00-07:00 Los_Angeles,8.569999694824219kW,166866.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-18T00:30:00-07:00 Los_Angeles,8.65999984741211kW,166866.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-18T00:45:00-07:00 Los_Angeles,8.670000076293945kW,166866.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-18T01:00:00-07:00 Los_Angeles,8.600000381469727kW,166866.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-18T01:15:00-07:00 Los_Angeles,8.609999656677246kW,166866.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-18T01:30:00-07:00 Los_Angeles,8.630000114440918kW,166868.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-18T01:45:00-07:00 Los_Angeles,8.829999923706055kW,166871hundred_cubic_feet_natural_gas,2kWh
2024-04-18T02:00:00-07:00 Los_Angeles,8.789999961853027kW,166871hundred_cubic_feet_natural_gas,2kWh
2024-04-18T02:15:00-07:00 Los_Angeles,8.770000457763672kW,166871.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-18T02:30:00-07:00 Los_Angeles,8.760000228881836kW,166871.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-18T02:45:00-07:00 Los_Angeles,8.800000190734863kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T03:00:00-07:00 Los_Angeles,8.84000015258789kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T03:15:00-07:00 Los_Angeles,8.75kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T03:30:00-07:00 Los_Angeles,8.670000076293945kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T03:45:00-07:00 Los_Angeles,8.729999542236328kW,166872.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-18T04:00:00-07:00 Los_Angeles,8.680000305175781kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T04:15:00-07:00 Los_Angeles,8.75kW,166872.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-18T04:30:00-07:00 Los_Angeles,8.739999771118164kW,166875.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-18T04:45:00-07:00 Los_Angeles,8.84000015258789kW,166875.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-18T05:00:00-07:00 Los_Angeles,8.770000457763672kW,166875.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-18T05:15:00-07:00 Los_Angeles,9.170000076293945kW,166881.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-18T05:30:00-07:00 Los_Angeles,9.210000038146973kW,166883.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-18T05:45:00-07:00 Los_Angeles,9.289999961853027kW,166886.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-18T06:00:00-07:00 Los_Angeles,9.220000267028809kW,166888hundred_cubic_feet_natural_gas,3kWh
2024-04-18T06:15:00-07:00 Los_Angeles,13.34000015258789kW,166889.5hundred_cubic_feet_natural_gas,3kWh
2024-04-18T06:30:00-07:00 Los_Angeles,12.539999961853027kW,166890.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-18T06:45:00-07:00 Los_Angeles,12.399999618530273kW,166891.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-18T07:00:00-07:00 Los_Angeles,11.539999961853027kW,166892.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-18T07:15:00-07:00 Los_Angeles,10.529999732971191kW,166894.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-18T07:30:00-07:00 Los_Angeles,9.569999694824219kW,166895hundred_cubic_feet_natural_gas,2kWh
2024-04-18T07:45:00-07:00 Los_Angeles,7.829999923706055kW,166895hundred_cubic_feet_natural_gas,2kWh
2024-04-18T08:00:00-07:00 Los_Angeles,5.889999866485596kW,166895.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-18T08:15:00-07:00 Los_Angeles,3.0899999141693115kW,166897hundred_cubic_feet_natural_gas,1kWh
2024-04-18T08:30:00-07:00 Los_Angeles,2.609999895095825kW,166900.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-18T08:45:00-07:00 Los_Angeles,12.800000190734863kW,166901.109375hundred_cubic_feet_natural_gas,3kWh
