Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-12T23:45:00-07:00 Los_Angeles,10.039999961853027kW,166385.296875hundred_cubic_feet_natural_gas,""
2024-04-13T00:00:00-07:00 Los_Angeles,10.029999732971191kW,166385.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-13T00:15:00-07:00 Los_Angeles,8.850000381469727kW,166385.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T00:30:00-07:00 Los_Angeles,8.90999984741211kW,166385.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-13T00:45:00-07:00 Los_Angeles,8.859999656677246kW,166385.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T01:00:00-07:00 Los_Angeles,8.970000267028809kW,166385.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T01:15:00-07:00 Los_Angeles,8.880000114440918kW,166385.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T01:30:00-07:00 Los_Angeles,8.75kW,166386.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-13T01:45:00-07:00 Los_Angeles,8.739999771118164kW,166388.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-13T02:00:00-07:00 Los_Angeles,8.760000228881836kW,166388.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-13T02:15:00-07:00 Los_Angeles,8.84000015258789kW,166388.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-13T02:30:00-07:00 Los_Angeles,8.8100004196167kW,166389.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-13T02:45:00-07:00 Los_Angeles,10.859999656677246kW,166389.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-13T03:00:00-07:00 Los_Angeles,10.890000343322754kW,166390.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-13T03:15:00-07:00 Los_Angeles,8.890000343322754kW,166390.5hundred_cubic_feet_natural_gas,2kWh
2024-04-13T03:30:00-07:00 Los_Angeles,8.899999618530273kW,166390.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-13T03:45:00-07:00 Los_Angeles,8.800000190734863kW,166391.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T04:00:00-07:00 Los_Angeles,8.789999961853027kW,166391.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-13T04:15:00-07:00 Los_Angeles,8.850000381469727kW,166392.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-13T04:30:00-07:00 Los_Angeles,8.729999542236328kW,166392.5hundred_cubic_feet_natural_gas,2kWh
2024-04-13T04:45:00-07:00 Los_Angeles,8.770000457763672kW,166392.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T05:00:00-07:00 Los_Angeles,8.720000267028809kW,166393.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-13T05:15:00-07:00 Los_Angeles,8.739999771118164kW,166393.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-13T05:30:00-07:00 Los_Angeles,8.699999809265137kW,166394hundred_cubic_feet_natural_gas,2kWh
