Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-05T23:45:00-07:00 Los_Angeles,9.6899995803833kW,165720.40625hundred_cubic_feet_natural_gas,""
2024-04-06T00:00:00-07:00 Los_Angeles,9.770000457763672kW,165720.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-06T00:15:00-07:00 Los_Angeles,8.680000305175781kW,165721.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-06T00:30:00-07:00 Los_Angeles,8.75kW,165721.5hundred_cubic_feet_natural_gas,2kWh
2024-04-06T00:45:00-07:00 Los_Angeles,8.710000038146973kW,165722hundred_cubic_feet_natural_gas,2kWh
2024-04-06T01:00:00-07:00 Los_Angeles,8.729999542236328kW,165722.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T01:15:00-07:00 Los_Angeles,8.699999809265137kW,165722.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T01:30:00-07:00 Los_Angeles,8.609999656677246kW,165723.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-06T01:45:00-07:00 Los_Angeles,8.65999984741211kW,165723.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-06T02:00:00-07:00 Los_Angeles,8.710000038146973kW,165724.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T02:15:00-07:00 Los_Angeles,8.739999771118164kW,165724.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T02:30:00-07:00 Los_Angeles,8.649999618530273kW,165724.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T02:45:00-07:00 Los_Angeles,8.779999732971191kW,165725.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T03:00:00-07:00 Los_Angeles,8.75kW,165725.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-06T03:15:00-07:00 Los_Angeles,8.710000038146973kW,165726.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-06T03:30:00-07:00 Los_Angeles,8.680000305175781kW,165726.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T03:45:00-07:00 Los_Angeles,8.699999809265137kW,165726.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T04:00:00-07:00 Los_Angeles,8.760000228881836kW,165727.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T04:15:00-07:00 Los_Angeles,8.800000190734863kW,165727.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T04:30:00-07:00 Los_Angeles,8.819999694824219kW,165728.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-06T04:45:00-07:00 Los_Angeles,8.800000190734863kW,165728.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T05:00:00-07:00 Los_Angeles,8.8100004196167kW,165729hundred_cubic_feet_natural_gas,2kWh
2024-04-06T05:15:00-07:00 Los_Angeles,8.859999656677246kW,165729.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-06T05:30:00-07:00 Los_Angeles,8.699999809265137kW,165729.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T05:45:00-07:00 Los_Angeles,8.680000305175781kW,165730.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-06T06:00:00-07:00 Los_Angeles,8.670000076293945kW,165730.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T06:15:00-07:00 Los_Angeles,8.729999542236328kW,165731.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T06:30:00-07:00 Los_Angeles,8.729999542236328kW,165731.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-06T06:45:00-07:00 Los_Angeles,7.699999809265137kW,165732.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-06T07:00:00-07:00 Los_Angeles,7.400000095367432kW,165732.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T07:15:00-07:00 Los_Angeles,6.789999961853027kW,165733.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T07:30:00-07:00 Los_Angeles,5.829999923706055kW,165733.5hundred_cubic_feet_natural_gas,1kWh
2024-04-06T07:45:00-07:00 Los_Angeles,4.429999828338623kW,165734.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-06T08:00:00-07:00 Los_Angeles,3.059999942779541kW,165734.5hundred_cubic_feet_natural_gas,1kWh
2024-04-06T08:15:00-07:00 Los_Angeles,1.2899999618530273kW,165734.90625hundred_cubic_feet_natural_gas,0kWh
2024-04-06T08:30:00-07:00 Los_Angeles,-1.4700000286102295kW,165735.296875hundred_cubic_feet_natural_gas,0kWh
