Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-28T23:45:00-07:00 Los_Angeles,8.760000228881836kW,167588.296875hundred_cubic_feet_natural_gas,""
2024-04-29T00:00:00-07:00 Los_Angeles,8.789999961853027kW,167588.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-29T00:15:00-07:00 Los_Angeles,8.600000381469727kW,167588.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-29T00:30:00-07:00 Los_Angeles,8.6899995803833kW,167588.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-29T00:45:00-07:00 Los_Angeles,8.779999732971191kW,167588.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-29T01:00:00-07:00 Los_Angeles,8.75kW,167589.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T01:15:00-07:00 Los_Angeles,8.979999542236328kW,167589.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T01:30:00-07:00 Los_Angeles,8.5600004196167kW,167589.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T01:45:00-07:00 Los_Angeles,8.680000305175781kW,167589.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T02:00:00-07:00 Los_Angeles,8.760000228881836kW,167589.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-29T02:15:00-07:00 Los_Angeles,8.670000076293945kW,167589.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T02:30:00-07:00 Los_Angeles,8.6899995803833kW,167593hundred_cubic_feet_natural_gas,2kWh
2024-04-29T02:45:00-07:00 Los_Angeles,8.739999771118164kW,167593hundred_cubic_feet_natural_gas,2kWh
2024-04-29T03:00:00-07:00 Los_Angeles,8.569999694824219kW,167593hundred_cubic_feet_natural_gas,2kWh
2024-04-29T03:15:00-07:00 Los_Angeles,8.579999923706055kW,167593hundred_cubic_feet_natural_gas,2kWh
2024-04-29T03:30:00-07:00 Los_Angeles,8.670000076293945kW,167593hundred_cubic_feet_natural_gas,3kWh
2024-04-29T03:45:00-07:00 Los_Angeles,8.65999984741211kW,167594.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T04:00:00-07:00 Los_Angeles,8.579999923706055kW,167594.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-29T04:15:00-07:00 Los_Angeles,8.579999923706055kW,167594.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-29T04:30:00-07:00 Los_Angeles,8.569999694824219kW,167595.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T04:45:00-07:00 Los_Angeles,8.550000190734863kW,167596.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-29T05:00:00-07:00 Los_Angeles,8.539999961853027kW,167598.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-29T05:15:00-07:00 Los_Angeles,9.550000190734863kW,167605.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-29T05:30:00-07:00 Los_Angeles,9.210000038146973kW,167613.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-29T05:45:00-07:00 Los_Angeles,9.319999694824219kW,167616.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T06:00:00-07:00 Los_Angeles,9.579999923706055kW,167618.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-29T06:15:00-07:00 Los_Angeles,11.729999542236328kW,167620.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T06:30:00-07:00 Los_Angeles,11.319999694824219kW,167623.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-29T06:45:00-07:00 Los_Angeles,10.9399995803833kW,167626.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-29T07:00:00-07:00 Los_Angeles,10.289999961853027kW,167628.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-29T07:15:00-07:00 Los_Angeles,9.6899995803833kW,167632.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-29T07:30:00-07:00 Los_Angeles,8.029999732971191kW,167634hundred_cubic_feet_natural_gas,3kWh
2024-04-29T07:45:00-07:00 Los_Angeles,6.300000190734863kW,167636.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-29T08:00:00-07:00 Los_Angeles,4.409999847412109kW,167638.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-29T08:15:00-07:00 Los_Angeles,1.899999976158142kW,167642.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-29T08:30:00-07:00 Los_Angeles,-1.2200000286102295kW,167645.109375hundred_cubic_feet_natural_gas,0kWh
2024-04-29T08:45:00-07:00 Los_Angeles,-3.819999933242798kW,167648hundred_cubic_feet_natural_gas,0kWh
2024-04-29T09:00:00-07:00 Los_Angeles,-5.769999980926514kW,167649.90625hundred_cubic_feet_natural_gas,-1kWh
2024-04-29T09:15:00-07:00 Los_Angeles,-7.829999923706055kW,167654.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T09:30:00-07:00 Los_Angeles,-6.769999980926514kW,167654.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T09:45:00-07:00 Los_Angeles,-9.3100004196167kW,167658.609375hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T10:00:00-07:00 Los_Angeles,-11.029999732971191kW,167660.609375hundred_cubic_feet_natural_gas,-3kWh
2024-04-29T10:15:00-07:00 Los_Angeles,-13.670000076293945kW,167660.609375hundred_cubic_feet_natural_gas,-3kWh
2024-04-29T10:30:00-07:00 Los_Angeles,-17.190000534057617kW,167664.5hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T10:45:00-07:00 Los_Angeles,-19.06999969482422kW,167664.5hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T11:00:00-07:00 Los_Angeles,-20.31999969482422kW,167670.296875hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T11:15:00-07:00 Los_Angeles,-21.360000610351562kW,167670.609375hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T11:30:00-07:00 Los_Angeles,-22.049999237060547kW,167670.609375hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T11:45:00-07:00 Los_Angeles,-22.780000686645508kW,167670.609375hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T12:00:00-07:00 Los_Angeles,-23.239999771118164kW,167671.609375hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T12:15:00-07:00 Los_Angeles,-23.350000381469727kW,167672.609375hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T12:30:00-07:00 Los_Angeles,-23.34000015258789kW,167672.703125hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T12:45:00-07:00 Los_Angeles,-23.1299991607666kW,167672.703125hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T13:00:00-07:00 Los_Angeles,-23.65999984741211kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T13:15:00-07:00 Los_Angeles,-23.799999237060547kW,167672.703125hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T13:30:00-07:00 Los_Angeles,-21.360000610351562kW,167672.703125hundred_cubic_feet_natural_gas,-6kWh
2024-04-29T13:45:00-07:00 Los_Angeles,-20.850000381469727kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T14:00:00-07:00 Los_Angeles,-19.65999984741211kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T14:15:00-07:00 Los_Angeles,-19.489999771118164kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T14:30:00-07:00 Los_Angeles,-18.40999984741211kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T14:45:00-07:00 Los_Angeles,-16.850000381469727kW,167672.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T15:00:00-07:00 Los_Angeles,-16.889999389648438kW,167672.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T15:15:00-07:00 Los_Angeles,-17.940000534057617kW,167672.703125hundred_cubic_feet_natural_gas,-5kWh
2024-04-29T15:30:00-07:00 Los_Angeles,-17.1299991607666kW,167672.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T15:45:00-07:00 Los_Angeles,-15.380000114440918kW,167672.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T16:00:00-07:00 Los_Angeles,-13.84000015258789kW,167672.703125hundred_cubic_feet_natural_gas,-4kWh
2024-04-29T16:15:00-07:00 Los_Angeles,-12.220000267028809kW,167672.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-29T16:30:00-07:00 Los_Angeles,-9.9399995803833kW,167672.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-29T16:45:00-07:00 Los_Angeles,-8.1899995803833kW,167672.703125hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T17:00:00-07:00 Los_Angeles,-5.510000228881836kW,167672.796875hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T17:15:00-07:00 Los_Angeles,-6.78000020980835kW,167672.796875hundred_cubic_feet_natural_gas,-2kWh
2024-04-29T17:30:00-07:00 Los_Angeles,-1.2699999809265137kW,167672.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-29T17:45:00-07:00 Los_Angeles,1.3899999856948853kW,167672.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-29T18:00:00-07:00 Los_Angeles,4.829999923706055kW,167672.796875hundred_cubic_feet_natural_gas,1kWh
2024-04-29T18:15:00-07:00 Los_Angeles,6.360000133514404kW,167672.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-29T18:30:00-07:00 Los_Angeles,6.150000095367432kW,167672.796875hundred_cubic_feet_natural_gas,1kWh
2024-04-29T18:45:00-07:00 Los_Angeles,8.1899995803833kW,167672.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-29T19:00:00-07:00 Los_Angeles,7.590000152587891kW,167679.609375hundred_cubic_feet_natural_gas,2kWh
