Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-03T23:45:00-07:00 Los_Angeles,9.880000114440918kW,165609.109375hundred_cubic_feet_natural_gas,""
2024-04-04T00:00:00-07:00 Los_Angeles,9.760000228881836kW,165609.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T00:15:00-07:00 Los_Angeles,8.65999984741211kW,165609.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T00:30:00-07:00 Los_Angeles,8.65999984741211kW,165610.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T00:45:00-07:00 Los_Angeles,8.710000038146973kW,165610.5hundred_cubic_feet_natural_gas,3kWh
2024-04-04T01:00:00-07:00 Los_Angeles,8.600000381469727kW,165611hundred_cubic_feet_natural_gas,2kWh
2024-04-04T01:15:00-07:00 Los_Angeles,8.5600004196167kW,165611.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T01:30:00-07:00 Los_Angeles,8.630000114440918kW,165611.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T01:45:00-07:00 Los_Angeles,8.649999618530273kW,165612.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-04T02:00:00-07:00 Los_Angeles,8.619999885559082kW,165612.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-04T02:15:00-07:00 Los_Angeles,8.529999732971191kW,165612.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T02:30:00-07:00 Los_Angeles,8.579999923706055kW,165613.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T02:45:00-07:00 Los_Angeles,8.579999923706055kW,165613.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T03:00:00-07:00 Los_Angeles,8.760000228881836kW,165614hundred_cubic_feet_natural_gas,2kWh
2024-04-04T03:15:00-07:00 Los_Angeles,8.680000305175781kW,165614.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T03:30:00-07:00 Los_Angeles,8.680000305175781kW,165614.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T03:45:00-07:00 Los_Angeles,8.649999618530273kW,165615.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T04:00:00-07:00 Los_Angeles,8.5600004196167kW,165615.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-04T04:15:00-07:00 Los_Angeles,8.609999656677246kW,165616hundred_cubic_feet_natural_gas,2kWh
2024-04-04T04:30:00-07:00 Los_Angeles,8.539999961853027kW,165616.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T04:45:00-07:00 Los_Angeles,8.569999694824219kW,165616.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T05:00:00-07:00 Los_Angeles,8.550000190734863kW,165617.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T05:15:00-07:00 Los_Angeles,8.640000343322754kW,165618hundred_cubic_feet_natural_gas,2kWh
2024-04-04T05:30:00-07:00 Los_Angeles,8.569999694824219kW,165618.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T05:45:00-07:00 Los_Angeles,8.520000457763672kW,165619hundred_cubic_feet_natural_gas,3kWh
2024-04-04T06:00:00-07:00 Los_Angeles,8.789999961853027kW,165619.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T06:15:00-07:00 Los_Angeles,9.300000190734863kW,165620hundred_cubic_feet_natural_gas,2kWh
2024-04-04T06:30:00-07:00 Los_Angeles,9.3100004196167kW,165620.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T06:45:00-07:00 Los_Angeles,8.220000267028809kW,165621.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-04T07:00:00-07:00 Los_Angeles,8.109999656677246kW,165621.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T07:15:00-07:00 Los_Angeles,10.90999984741211kW,165622.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T07:30:00-07:00 Los_Angeles,11.109999656677246kW,165623.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T07:45:00-07:00 Los_Angeles,11.079999923706055kW,165624.5hundred_cubic_feet_natural_gas,3kWh
2024-04-04T08:00:00-07:00 Los_Angeles,9.90999984741211kW,165625.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T08:15:00-07:00 Los_Angeles,9.0600004196167kW,165626.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-04T08:30:00-07:00 Los_Angeles,9.539999961853027kW,165626.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T08:45:00-07:00 Los_Angeles,10.449999809265137kW,165627.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T09:00:00-07:00 Los_Angeles,9.420000076293945kW,165628.5hundred_cubic_feet_natural_gas,3kWh
2024-04-04T09:15:00-07:00 Los_Angeles,7.210000038146973kW,165629.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T09:30:00-07:00 Los_Angeles,9.489999771118164kW,165630hundred_cubic_feet_natural_gas,2kWh
2024-04-04T09:45:00-07:00 Los_Angeles,8.930000305175781kW,165630.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T10:00:00-07:00 Los_Angeles,9.149999618530273kW,165631.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T10:15:00-07:00 Los_Angeles,6.480000019073486kW,165632.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T10:30:00-07:00 Los_Angeles,7.070000171661377kW,165633hundred_cubic_feet_natural_gas,2kWh
2024-04-04T10:45:00-07:00 Los_Angeles,7.170000076293945kW,165633.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T11:00:00-07:00 Los_Angeles,1.7300000190734863kW,165634.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-04T11:15:00-07:00 Los_Angeles,-11.15999984741211kW,165635.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-04T11:30:00-07:00 Los_Angeles,-18.59000015258789kW,165636.796875hundred_cubic_feet_natural_gas,-1kWh
2024-04-04T11:45:00-07:00 Los_Angeles,-23.209999084472656kW,165637.40625hundred_cubic_feet_natural_gas,-5kWh
2024-04-04T12:00:00-07:00 Los_Angeles,-25.1200008392334kW,165638.203125hundred_cubic_feet_natural_gas,-2kWh
2024-04-04T12:15:00-07:00 Los_Angeles,-22.15999984741211kW,165639hundred_cubic_feet_natural_gas,-3kWh
2024-04-04T12:30:00-07:00 Los_Angeles,-18.200000762939453kW,165639.796875hundred_cubic_feet_natural_gas,-5kWh
2024-04-04T12:45:00-07:00 Los_Angeles,1.7400000095367432kW,165640.109375hundred_cubic_feet_natural_gas,-2kWh
2024-04-04T13:00:00-07:00 Los_Angeles,-23.670000076293945kW,165640.109375hundred_cubic_feet_natural_gas,-3kWh
2024-04-04T13:15:00-07:00 Los_Angeles,-23.360000610351562kW,165641.609375hundred_cubic_feet_natural_gas,-5kWh
2024-04-04T13:30:00-07:00 Los_Angeles,-4.130000114440918kW,165641.90625hundred_cubic_feet_natural_gas,-4kWh
2024-04-04T13:45:00-07:00 Los_Angeles,-5.570000171661377kW,165642.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-04T14:00:00-07:00 Los_Angeles,-10.100000381469727kW,165643.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-04T14:15:00-07:00 Los_Angeles,-22.920000076293945kW,165644hundred_cubic_feet_natural_gas,-6kWh
2024-04-04T14:30:00-07:00 Los_Angeles,-23.950000762939453kW,165644hundred_cubic_feet_natural_gas,-5kWh
2024-04-04T14:45:00-07:00 Los_Angeles,-2.4600000381469727kW,165645.40625hundred_cubic_feet_natural_gas,-4kWh
2024-04-04T15:00:00-07:00 Los_Angeles,-22.75kW,165645.40625hundred_cubic_feet_natural_gas,-2kWh
2024-04-04T15:15:00-07:00 Los_Angeles,-0.029999999329447746kW,165646.609375hundred_cubic_feet_natural_gas,-5kWh
2024-04-04T15:30:00-07:00 Los_Angeles,0.3100000023841858kW,165646.609375hundred_cubic_feet_natural_gas,-4kWh
2024-04-04T15:45:00-07:00 Los_Angeles,0.7900000214576721kW,165647.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-04T16:00:00-07:00 Los_Angeles,3.75kW,165648.609375hundred_cubic_feet_natural_gas,0kWh
2024-04-04T16:15:00-07:00 Los_Angeles,2.2200000286102295kW,165648.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-04T16:30:00-07:00 Los_Angeles,3.700000047683716kW,165650.109375hundred_cubic_feet_natural_gas,-1kWh
2024-04-04T16:45:00-07:00 Los_Angeles,-1.4299999475479126kW,165650.296875hundred_cubic_feet_natural_gas,0kWh
2024-04-04T17:00:00-07:00 Los_Angeles,6.139999866485596kW,165651hundred_cubic_feet_natural_gas,1kWh
2024-04-04T17:15:00-07:00 Los_Angeles,6.849999904632568kW,165651.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-04T17:30:00-07:00 Los_Angeles,11.289999961853027kW,165652hundred_cubic_feet_natural_gas,2kWh
2024-04-04T17:45:00-07:00 Los_Angeles,12.670000076293945kW,165652.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T18:00:00-07:00 Los_Angeles,12.4399995803833kW,165652.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T18:15:00-07:00 Los_Angeles,13.34000015258789kW,165653.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-04T18:30:00-07:00 Los_Angeles,13.010000228881836kW,165653.5hundred_cubic_feet_natural_gas,4kWh
2024-04-04T18:45:00-07:00 Los_Angeles,12.979999542236328kW,165653.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T19:00:00-07:00 Los_Angeles,13.130000114440918kW,165654.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T19:15:00-07:00 Los_Angeles,10.550000190734863kW,165654.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T19:30:00-07:00 Los_Angeles,12.460000038146973kW,165655.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-04T19:45:00-07:00 Los_Angeles,12.130000114440918kW,165655.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-04T20:00:00-07:00 Los_Angeles,12.760000228881836kW,165656.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-04T20:15:00-07:00 Los_Angeles,12.380000114440918kW,165656.40625hundred_cubic_feet_natural_gas,4kWh
2024-04-04T20:30:00-07:00 Los_Angeles,13.270000457763672kW,165656.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T20:45:00-07:00 Los_Angeles,15.710000038146973kW,165657.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T21:00:00-07:00 Los_Angeles,12.050000190734863kW,165657.609375hundred_cubic_feet_natural_gas,4kWh
2024-04-04T21:15:00-07:00 Los_Angeles,11.789999961853027kW,165658hundred_cubic_feet_natural_gas,3kWh
2024-04-04T21:30:00-07:00 Los_Angeles,9.789999961853027kW,165658.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T21:45:00-07:00 Los_Angeles,9.819999694824219kW,165658.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T22:00:00-07:00 Los_Angeles,9.729999542236328kW,165659.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-04T22:15:00-07:00 Los_Angeles,9.670000076293945kW,165659.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-04T22:30:00-07:00 Los_Angeles,9.699999809265137kW,165660.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-04T22:45:00-07:00 Los_Angeles,9.789999961853027kW,165660.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-04T23:00:00-07:00 Los_Angeles,9.739999771118164kW,165660.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-04T23:15:00-07:00 Los_Angeles,9.649999618530273kW,165661.5hundred_cubic_feet_natural_gas,2kWh
2024-04-04T23:30:00-07:00 Los_Angeles,9.779999732971191kW,165661.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-04T23:45:00-07:00 Los_Angeles,9.770000457763672kW,165662.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-05T00:00:00-07:00 Los_Angeles,9.869999885559082kW,165662.5hundred_cubic_feet_natural_gas,3kWh
2024-04-05T00:15:00-07:00 Los_Angeles,8.680000305175781kW,165663hundred_cubic_feet_natural_gas,2kWh
