Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-27T23:45:00-07:00 Los_Angeles,8.8100004196167kW,167549.296875hundred_cubic_feet_natural_gas,""
2024-04-28T00:00:00-07:00 Los_Angeles,8.710000038146973kW,167549.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T00:15:00-07:00 Los_Angeles,8.569999694824219kW,167550hundred_cubic_feet_natural_gas,2kWh
2024-04-28T00:30:00-07:00 Los_Angeles,8.5600004196167kW,167550.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-28T00:45:00-07:00 Los_Angeles,8.5600004196167kW,167551.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T01:00:00-07:00 Los_Angeles,8.699999809265137kW,167551.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T01:15:00-07:00 Los_Angeles,9.079999923706055kW,167551.5hundred_cubic_feet_natural_gas,3kWh
2024-04-28T01:30:00-07:00 Los_Angeles,8.539999961853027kW,167551.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-28T01:45:00-07:00 Los_Angeles,8.680000305175781kW,167552.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-28T02:00:00-07:00 Los_Angeles,8.649999618530273kW,167552.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T02:15:00-07:00 Los_Angeles,8.640000343322754kW,167553hundred_cubic_feet_natural_gas,2kWh
2024-04-28T02:30:00-07:00 Los_Angeles,8.619999885559082kW,167553.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-28T02:45:00-07:00 Los_Angeles,8.710000038146973kW,167553.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-28T03:00:00-07:00 Los_Angeles,8.619999885559082kW,167554.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T03:15:00-07:00 Los_Angeles,8.539999961853027kW,167554.5hundred_cubic_feet_natural_gas,2kWh
2024-04-28T03:30:00-07:00 Los_Angeles,8.520000457763672kW,167554.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-28T03:45:00-07:00 Los_Angeles,8.539999961853027kW,167555.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-28T04:00:00-07:00 Los_Angeles,8.539999961853027kW,167555.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-28T04:15:00-07:00 Los_Angeles,8.630000114440918kW,167556hundred_cubic_feet_natural_gas,3kWh
2024-04-28T04:30:00-07:00 Los_Angeles,8.529999732971191kW,167556.5hundred_cubic_feet_natural_gas,2kWh
2024-04-28T04:45:00-07:00 Los_Angeles,10.609999656677246kW,167556.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-28T05:00:00-07:00 Los_Angeles,10.569999694824219kW,167557.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-28T05:15:00-07:00 Los_Angeles,10.550000190734863kW,167557.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-28T05:30:00-07:00 Los_Angeles,10.649999618530273kW,167558hundred_cubic_feet_natural_gas,2kWh
2024-04-28T05:45:00-07:00 Los_Angeles,10.619999885559082kW,167558.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-28T06:00:00-07:00 Los_Angeles,10.670000076293945kW,167558.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-28T06:15:00-07:00 Los_Angeles,9.3100004196167kW,167559.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-28T06:30:00-07:00 Los_Angeles,9.170000076293945kW,167559.5hundred_cubic_feet_natural_gas,2kWh
2024-04-28T06:45:00-07:00 Los_Angeles,6.829999923706055kW,167560hundred_cubic_feet_natural_gas,2kWh
2024-04-28T07:00:00-07:00 Los_Angeles,6.340000152587891kW,167560.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-28T07:15:00-07:00 Los_Angeles,5.619999885559082kW,167560.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-28T07:30:00-07:00 Los_Angeles,4.239999771118164kW,167561.109375hundred_cubic_feet_natural_gas,1kWh
2024-04-28T07:45:00-07:00 Los_Angeles,2.609999895095825kW,167561.5hundred_cubic_feet_natural_gas,1kWh
2024-04-28T08:00:00-07:00 Los_Angeles,0.6299999952316284kW,167561.5hundred_cubic_feet_natural_gas,0kWh
2024-04-28T08:15:00-07:00 Los_Angeles,-2.0999999046325684kW,167562.109375hundred_cubic_feet_natural_gas,0kWh
2024-04-28T08:30:00-07:00 Los_Angeles,-5.070000171661377kW,167563.40625hundred_cubic_feet_natural_gas,-1kWh
2024-04-28T08:45:00-07:00 Los_Angeles,-7.849999904632568kW,167567.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-28T09:00:00-07:00 Los_Angeles,-9.779999732971191kW,167567.609375hundred_cubic_feet_natural_gas,-2kWh
2024-04-28T09:15:00-07:00 Los_Angeles,-11.819999694824219kW,167567.609375hundred_cubic_feet_natural_gas,-3kWh
2024-04-28T09:30:00-07:00 Los_Angeles,-13.430000305175781kW,167568.703125hundred_cubic_feet_natural_gas,-3kWh
2024-04-28T09:45:00-07:00 Los_Angeles,-15.529999732971191kW,167572.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-28T10:00:00-07:00 Los_Angeles,-17.25kW,167572.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-28T10:15:00-07:00 Los_Angeles,-19.530000686645508kW,167572.109375hundred_cubic_feet_natural_gas,-4kWh
2024-04-28T10:30:00-07:00 Los_Angeles,-20.989999771118164kW,167572.109375hundred_cubic_feet_natural_gas,-5kWh
2024-04-28T10:45:00-07:00 Los_Angeles,-22.93000030517578kW,167572.109375hundred_cubic_feet_natural_gas,-6kWh
2024-04-28T11:00:00-07:00 Los_Angeles,-23.889999389648438kW,167572.109375hundred_cubic_feet_natural_gas,-6kWh
2024-04-28T11:15:00-07:00 Los_Angeles,-25.450000762939453kW,167572.109375hundred_cubic_feet_natural_gas,-6kWh
2024-04-28T11:30:00-07:00 Los_Angeles,-26.09000015258789kW,167572.109375hundred_cubic_feet_natural_gas,-6kWh
2024-04-28T11:45:00-07:00 Los_Angeles,-26.719999313354492kW,167572.109375hundred_cubic_feet_natural_gas,-7kWh
2024-04-28T12:00:00-07:00 Los_Angeles,-27.209999084472656kW,167572.109375hundred_cubic_feet_natural_gas,-7kWh
2024-04-28T12:15:00-07:00 Los_Angeles,-27kW,167572.109375hundred_cubic_feet_natural_gas,-6kWh
2024-04-28T12:30:00-07:00 Los_Angeles,-27.260000228881836kW,167572.109375hundred_cubic_feet_natural_gas,-7kWh
2024-04-28T12:45:00-07:00 Los_Angeles,-27.34000015258789kW,167572.109375hundred_cubic_feet_natural_gas,-7kWh
