Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-29T23:45:00-07:00 Los_Angeles,9.8100004196167kW,167697.90625hundred_cubic_feet_natural_gas,""
2024-04-30T00:00:00-07:00 Los_Angeles,9.789999961853027kW,167698.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-30T00:15:00-07:00 Los_Angeles,8.569999694824219kW,167698.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-30T00:30:00-07:00 Los_Angeles,8.449999809265137kW,167699hundred_cubic_feet_natural_gas,3kWh
2024-04-30T00:45:00-07:00 Los_Angeles,8.479999542236328kW,167699.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T01:00:00-07:00 Los_Angeles,8.649999618530273kW,167700hundred_cubic_feet_natural_gas,2kWh
2024-04-30T01:15:00-07:00 Los_Angeles,8.479999542236328kW,167700.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T01:30:00-07:00 Los_Angeles,8.470000267028809kW,167700.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T01:45:00-07:00 Los_Angeles,8.479999542236328kW,167701.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T02:00:00-07:00 Los_Angeles,8.430000305175781kW,167701.5hundred_cubic_feet_natural_gas,2kWh
2024-04-30T02:15:00-07:00 Los_Angeles,8.430000305175781kW,167701.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-30T02:30:00-07:00 Los_Angeles,8.510000228881836kW,167702.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-30T02:45:00-07:00 Los_Angeles,8.65999984741211kW,167702.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T03:00:00-07:00 Los_Angeles,8.579999923706055kW,167703hundred_cubic_feet_natural_gas,2kWh
2024-04-30T03:15:00-07:00 Los_Angeles,8.550000190734863kW,167703.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-30T03:30:00-07:00 Los_Angeles,8.539999961853027kW,167703.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-30T03:45:00-07:00 Los_Angeles,8.5600004196167kW,167704.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T04:00:00-07:00 Los_Angeles,8.5600004196167kW,167704.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T04:15:00-07:00 Los_Angeles,8.489999771118164kW,167704.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-30T04:30:00-07:00 Los_Angeles,8.460000038146973kW,167705.5hundred_cubic_feet_natural_gas,2kWh
2024-04-30T04:45:00-07:00 Los_Angeles,8.430000305175781kW,167706.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T05:00:00-07:00 Los_Angeles,8.449999809265137kW,167706.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-30T05:15:00-07:00 Los_Angeles,8.850000381469727kW,167711.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-30T05:30:00-07:00 Los_Angeles,8.850000381469727kW,167713.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T05:45:00-07:00 Los_Angeles,8.9399995803833kW,167715.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-30T06:00:00-07:00 Los_Angeles,9.0600004196167kW,167717.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-30T06:15:00-07:00 Los_Angeles,11.289999961853027kW,167719.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-30T06:30:00-07:00 Los_Angeles,10.829999923706055kW,167721.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-30T06:45:00-07:00 Los_Angeles,10.4399995803833kW,167724.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-30T07:00:00-07:00 Los_Angeles,9.979999542236328kW,167726.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-30T07:15:00-07:00 Los_Angeles,9.130000114440918kW,167728.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-30T07:30:00-07:00 Los_Angeles,7.849999904632568kW,167731.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-30T07:45:00-07:00 Los_Angeles,6.090000152587891kW,167733.796875hundred_cubic_feet_natural_gas,1kWh
2024-04-30T08:00:00-07:00 Los_Angeles,3.940000057220459kW,167738hundred_cubic_feet_natural_gas,2kWh
2024-04-30T08:15:00-07:00 Los_Angeles,1.1699999570846558kW,167740.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-30T08:30:00-07:00 Los_Angeles,-2.25kW,167743.109375hundred_cubic_feet_natural_gas,0kWh
