Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-15T23:45:00-07:00 Los_Angeles,9.739999771118164kW,166685.703125hundred_cubic_feet_natural_gas,""
2024-04-16T00:00:00-07:00 Los_Angeles,9.850000381469727kW,166686hundred_cubic_feet_natural_gas,2kWh
2024-04-16T00:15:00-07:00 Los_Angeles,8.710000038146973kW,166686.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-16T00:30:00-07:00 Los_Angeles,8.8100004196167kW,166686.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-16T00:45:00-07:00 Los_Angeles,8.8100004196167kW,166687.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-16T01:00:00-07:00 Los_Angeles,8.729999542236328kW,166687.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-16T01:15:00-07:00 Los_Angeles,8.739999771118164kW,166687.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-16T01:30:00-07:00 Los_Angeles,8.75kW,166688.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-16T01:45:00-07:00 Los_Angeles,8.739999771118164kW,166688.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-16T02:00:00-07:00 Los_Angeles,8.779999732971191kW,166689.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-16T02:15:00-07:00 Los_Angeles,8.680000305175781kW,166689.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-16T02:30:00-07:00 Los_Angeles,8.640000343322754kW,166689.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-16T02:45:00-07:00 Los_Angeles,8.6899995803833kW,166690.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-16T03:00:00-07:00 Los_Angeles,8.789999961853027kW,166690.5hundred_cubic_feet_natural_gas,2kWh
2024-04-16T03:15:00-07:00 Los_Angeles,8.75kW,166691hundred_cubic_feet_natural_gas,2kWh
2024-04-16T03:30:00-07:00 Los_Angeles,8.680000305175781kW,166691.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-16T03:45:00-07:00 Los_Angeles,8.6899995803833kW,166691.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-16T04:00:00-07:00 Los_Angeles,8.65999984741211kW,166692.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-16T04:15:00-07:00 Los_Angeles,10.829999923706055kW,166692.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-16T04:30:00-07:00 Los_Angeles,10.890000343322754kW,166693.5hundred_cubic_feet_natural_gas,2kWh
2024-04-16T04:45:00-07:00 Los_Angeles,10.8100004196167kW,166694.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-16T05:00:00-07:00 Los_Angeles,10.770000457763672kW,166696.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-16T05:15:00-07:00 Los_Angeles,11.15999984741211kW,166700.5hundred_cubic_feet_natural_gas,3kWh
2024-04-16T05:30:00-07:00 Los_Angeles,11.199999809265137kW,166702.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-16T05:45:00-07:00 Los_Angeles,11.149999618530273kW,166702.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-16T06:00:00-07:00 Los_Angeles,11.210000038146973kW,166702.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-16T06:15:00-07:00 Los_Angeles,14.520000457763672kW,166709.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-16T06:30:00-07:00 Los_Angeles,11.149999618530273kW,166715.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-16T06:45:00-07:00 Los_Angeles,11.34000015258789kW,166718.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-16T07:00:00-07:00 Los_Angeles,10.829999923706055kW,166722.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-16T07:15:00-07:00 Los_Angeles,10.09000015258789kW,166726.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-16T07:30:00-07:00 Los_Angeles,8.779999732971191kW,166728.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-16T07:45:00-07:00 Los_Angeles,7.599999904632568kW,166732.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-16T08:00:00-07:00 Los_Angeles,5.929999828338623kW,166736.5hundred_cubic_feet_natural_gas,2kWh
2024-04-16T08:15:00-07:00 Los_Angeles,4.03000020980835kW,166740.703125hundred_cubic_feet_natural_gas,1kWh
2024-04-16T08:30:00-07:00 Los_Angeles,4.570000171661377kW,166743.109375hundred_cubic_feet_natural_gas,1kWh
2024-04-16T08:45:00-07:00 Los_Angeles,11.5600004196167kW,166745.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-16T09:00:00-07:00 Los_Angeles,8.520000457763672kW,166750hundred_cubic_feet_natural_gas,3kWh
