Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-10T23:45:00-07:00 Los_Angeles,10kW,166246.5hundred_cubic_feet_natural_gas,""
2024-04-11T00:00:00-07:00 Los_Angeles,10.010000228881836kW,166246.5hundred_cubic_feet_natural_gas,2kWh
2024-04-11T00:15:00-07:00 Los_Angeles,8.649999618530273kW,166246.5hundred_cubic_feet_natural_gas,2kWh
2024-04-11T00:30:00-07:00 Los_Angeles,8.6899995803833kW,166246.5hundred_cubic_feet_natural_gas,3kWh
2024-04-11T00:45:00-07:00 Los_Angeles,8.75kW,166246.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T01:00:00-07:00 Los_Angeles,8.75kW,166246.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T01:15:00-07:00 Los_Angeles,8.829999923706055kW,166246.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T01:30:00-07:00 Los_Angeles,8.789999961853027kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T01:45:00-07:00 Los_Angeles,8.829999923706055kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T02:00:00-07:00 Los_Angeles,8.859999656677246kW,166251.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-11T02:15:00-07:00 Los_Angeles,8.770000457763672kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T02:30:00-07:00 Los_Angeles,8.789999961853027kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T02:45:00-07:00 Los_Angeles,8.699999809265137kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T03:00:00-07:00 Los_Angeles,8.859999656677246kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T03:15:00-07:00 Los_Angeles,8.760000228881836kW,166251.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-11T03:30:00-07:00 Los_Angeles,8.680000305175781kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T03:45:00-07:00 Los_Angeles,8.710000038146973kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T04:00:00-07:00 Los_Angeles,8.699999809265137kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T04:15:00-07:00 Los_Angeles,9.140000343322754kW,166251.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T04:30:00-07:00 Los_Angeles,8.699999809265137kW,166253.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-11T04:45:00-07:00 Los_Angeles,8.8100004196167kW,166255.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-11T05:00:00-07:00 Los_Angeles,8.789999961853027kW,166255.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-11T05:15:00-07:00 Los_Angeles,9.3100004196167kW,166261.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-11T05:30:00-07:00 Los_Angeles,9.270000457763672kW,166264.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-11T05:45:00-07:00 Los_Angeles,9.199999809265137kW,166267.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-11T06:00:00-07:00 Los_Angeles,9.390000343322754kW,166270.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-11T06:15:00-07:00 Los_Angeles,14.460000038146973kW,166271.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-11T06:30:00-07:00 Los_Angeles,13.90999984741211kW,166275.796875hundred_cubic_feet_natural_gas,4kWh
2024-04-11T06:45:00-07:00 Los_Angeles,12.09000015258789kW,166276hundred_cubic_feet_natural_gas,3kWh
2024-04-11T07:00:00-07:00 Los_Angeles,11.630000114440918kW,166280hundred_cubic_feet_natural_gas,3kWh
2024-04-11T07:15:00-07:00 Los_Angeles,11.569999694824219kW,166282.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-11T07:30:00-07:00 Los_Angeles,10.420000076293945kW,166283.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-11T07:45:00-07:00 Los_Angeles,9.130000114440918kW,166288.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-11T08:00:00-07:00 Los_Angeles,7.199999809265137kW,166292hundred_cubic_feet_natural_gas,2kWh
2024-04-11T08:15:00-07:00 Los_Angeles,5.46999979019165kW,166292.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-11T08:30:00-07:00 Los_Angeles,2.0899999141693115kW,166292.796875hundred_cubic_feet_natural_gas,0kWh
2024-04-11T08:45:00-07:00 Los_Angeles,10.479999542236328kW,166292.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-11T09:00:00-07:00 Los_Angeles,7.119999885559082kW,166292.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-11T09:15:00-07:00 Los_Angeles,7.400000095367432kW,166292.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-11T09:30:00-07:00 Los_Angeles,6.28000020980835kW,166292.796875hundred_cubic_feet_natural_gas,2kWh
