Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-23T23:45:00-07:00 Los_Angeles,9.699999809265137kW,167239.5hundred_cubic_feet_natural_gas,""
2024-04-24T00:00:00-07:00 Los_Angeles,9.649999618530273kW,167239.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-24T00:15:00-07:00 Los_Angeles,8.550000190734863kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T00:30:00-07:00 Los_Angeles,8.460000038146973kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T00:45:00-07:00 Los_Angeles,8.539999961853027kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T01:00:00-07:00 Los_Angeles,8.479999542236328kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T01:15:00-07:00 Los_Angeles,8.5kW,167240.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T01:30:00-07:00 Los_Angeles,8.449999809265137kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T01:45:00-07:00 Los_Angeles,8.420000076293945kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T02:00:00-07:00 Los_Angeles,8.539999961853027kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T02:15:00-07:00 Los_Angeles,8.520000457763672kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T02:30:00-07:00 Los_Angeles,8.510000228881836kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T02:45:00-07:00 Los_Angeles,8.550000190734863kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T03:00:00-07:00 Los_Angeles,8.529999732971191kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T03:15:00-07:00 Los_Angeles,8.619999885559082kW,167240.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T03:30:00-07:00 Los_Angeles,8.59000015258789kW,167240.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T03:45:00-07:00 Los_Angeles,8.420000076293945kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T04:00:00-07:00 Los_Angeles,8.399999618530273kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T04:15:00-07:00 Los_Angeles,8.430000305175781kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T04:30:00-07:00 Los_Angeles,8.390000343322754kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T04:45:00-07:00 Los_Angeles,8.449999809265137kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T05:00:00-07:00 Los_Angeles,8.399999618530273kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T05:15:00-07:00 Los_Angeles,8.8100004196167kW,167244.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T05:30:00-07:00 Los_Angeles,8.770000457763672kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T05:45:00-07:00 Los_Angeles,8.930000305175781kW,167244.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T06:00:00-07:00 Los_Angeles,9.1899995803833kW,167246.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T06:15:00-07:00 Los_Angeles,13.199999809265137kW,167251.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T06:30:00-07:00 Los_Angeles,10.979999542236328kW,167256.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T06:45:00-07:00 Los_Angeles,10.90999984741211kW,167259.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T07:00:00-07:00 Los_Angeles,10.020000457763672kW,167261.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T07:15:00-07:00 Los_Angeles,10.1899995803833kW,167263.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-24T07:30:00-07:00 Los_Angeles,8.699999809265137kW,167265.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T07:45:00-07:00 Los_Angeles,8.270000457763672kW,167265.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T08:00:00-07:00 Los_Angeles,8.109999656677246kW,167266.5hundred_cubic_feet_natural_gas,2kWh
2024-04-24T08:15:00-07:00 Los_Angeles,7.869999885559082kW,167269.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T08:30:00-07:00 Los_Angeles,6.889999866485596kW,167269.296875hundred_cubic_feet_natural_gas,1kWh
2024-04-24T08:45:00-07:00 Los_Angeles,6.329999923706055kW,167273.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T09:00:00-07:00 Los_Angeles,6.630000114440918kW,167273.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-24T09:15:00-07:00 Los_Angeles,9.359999656677246kW,167273.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-24T09:30:00-07:00 Los_Angeles,8.520000457763672kW,167280.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-24T09:45:00-07:00 Los_Angeles,16.979999542236328kW,167283.109375hundred_cubic_feet_natural_gas,4kWh
2024-04-24T10:00:00-07:00 Los_Angeles,12.359999656677246kW,167286.703125hundred_cubic_feet_natural_gas,4kWh
2024-04-24T10:15:00-07:00 Los_Angeles,11.710000038146973kW,167286.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T10:30:00-07:00 Los_Angeles,15.5600004196167kW,167287.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-24T10:45:00-07:00 Los_Angeles,17.729999542236328kW,167288.90625hundred_cubic_feet_natural_gas,4kWh
2024-04-24T11:00:00-07:00 Los_Angeles,15.380000114440918kW,167294.296875hundred_cubic_feet_natural_gas,4kWh
2024-04-24T11:15:00-07:00 Los_Angeles,13.520000457763672kW,167299.40625hundred_cubic_feet_natural_gas,4kWh
2024-04-24T11:30:00-07:00 Los_Angeles,7.46999979019165kW,167302.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T11:45:00-07:00 Los_Angeles,10.470000267028809kW,167302.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T12:00:00-07:00 Los_Angeles,7.829999923706055kW,167302.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T12:15:00-07:00 Los_Angeles,12.569999694824219kW,167302.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T12:30:00-07:00 Los_Angeles,9.869999885559082kW,167302.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T12:45:00-07:00 Los_Angeles,7.980000019073486kW,167304.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-24T13:00:00-07:00 Los_Angeles,10.6899995803833kW,167304.5hundred_cubic_feet_natural_gas,2kWh
2024-04-24T13:15:00-07:00 Los_Angeles,8kW,167304.5hundred_cubic_feet_natural_gas,2kWh
2024-04-24T13:30:00-07:00 Los_Angeles,-7.010000228881836kW,167304.5hundred_cubic_feet_natural_gas,1kWh
2024-04-24T13:45:00-07:00 Los_Angeles,-6.28000020980835kW,167304.5hundred_cubic_feet_natural_gas,-2kWh
2024-04-24T14:00:00-07:00 Los_Angeles,-7.420000076293945kW,167304.609375hundred_cubic_feet_natural_gas,-1kWh
2024-04-24T14:15:00-07:00 Los_Angeles,-4.260000228881836kW,167304.609375hundred_cubic_feet_natural_gas,-2kWh
2024-04-24T14:30:00-07:00 Los_Angeles,-2.809999942779541kW,167304.609375hundred_cubic_feet_natural_gas,-1kWh
2024-04-24T14:45:00-07:00 Los_Angeles,-3.1700000762939453kW,167304.609375hundred_cubic_feet_natural_gas,0kWh
2024-04-24T15:00:00-07:00 Los_Angeles,-2.200000047683716kW,167304.609375hundred_cubic_feet_natural_gas,-1kWh
2024-04-24T15:15:00-07:00 Los_Angeles,5.769999980926514kW,167304.609375hundred_cubic_feet_natural_gas,1kWh
2024-04-24T15:30:00-07:00 Los_Angeles,-7.860000133514404kW,167311hundred_cubic_feet_natural_gas,-2kWh
2024-04-24T15:45:00-07:00 Los_Angeles,-6.599999904632568kW,167311hundred_cubic_feet_natural_gas,-4kWh
2024-04-24T16:00:00-07:00 Los_Angeles,-21.190000534057617kW,167311hundred_cubic_feet_natural_gas,-2kWh
2024-04-24T16:15:00-07:00 Los_Angeles,-16.68000030517578kW,167311hundred_cubic_feet_natural_gas,-4kWh
2024-04-24T16:30:00-07:00 Los_Angeles,-4.320000171661377kW,167311hundred_cubic_feet_natural_gas,-2kWh
2024-04-24T16:45:00-07:00 Los_Angeles,-0.27000001072883606kW,167311hundred_cubic_feet_natural_gas,0kWh
2024-04-24T17:00:00-07:00 Los_Angeles,-0.4099999964237213kW,167311hundred_cubic_feet_natural_gas,1kWh
2024-04-24T17:15:00-07:00 Los_Angeles,0.6800000071525574kW,167314.703125hundred_cubic_feet_natural_gas,0kWh
2024-04-24T17:30:00-07:00 Los_Angeles,0.5699999928474426kW,167322hundred_cubic_feet_natural_gas,0kWh
2024-04-24T17:45:00-07:00 Los_Angeles,7.300000190734863kW,167323.796875hundred_cubic_feet_natural_gas,1kWh
2024-04-24T18:00:00-07:00 Los_Angeles,12.84000015258789kW,167325.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T18:15:00-07:00 Los_Angeles,11.729999542236328kW,167325.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T18:30:00-07:00 Los_Angeles,10.579999923706055kW,167325.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T18:45:00-07:00 Los_Angeles,9.970000267028809kW,167325.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T19:00:00-07:00 Los_Angeles,10.050000190734863kW,167325.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T19:15:00-07:00 Los_Angeles,10.979999542236328kW,167325.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T19:30:00-07:00 Los_Angeles,9.550000190734863kW,167325.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T19:45:00-07:00 Los_Angeles,9.199999809265137kW,167325.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T20:00:00-07:00 Los_Angeles,10.460000038146973kW,167326.5hundred_cubic_feet_natural_gas,2kWh
2024-04-24T20:15:00-07:00 Los_Angeles,10.300000190734863kW,167330.90625hundred_cubic_feet_natural_gas,3kWh
2024-04-24T20:30:00-07:00 Los_Angeles,10.279999732971191kW,167332.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-24T20:45:00-07:00 Los_Angeles,10.75kW,167334hundred_cubic_feet_natural_gas,2kWh
2024-04-24T21:00:00-07:00 Los_Angeles,10.930000305175781kW,167335hundred_cubic_feet_natural_gas,3kWh
2024-04-24T21:15:00-07:00 Los_Angeles,9.770000457763672kW,167335.5hundred_cubic_feet_natural_gas,2kWh
2024-04-24T21:30:00-07:00 Los_Angeles,9.760000228881836kW,167335.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-24T21:45:00-07:00 Los_Angeles,9.75kW,167335.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-24T22:00:00-07:00 Los_Angeles,9.779999732971191kW,167335.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-24T22:15:00-07:00 Los_Angeles,9.670000076293945kW,167335.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-24T22:30:00-07:00 Los_Angeles,9.550000190734863kW,167337.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-24T22:45:00-07:00 Los_Angeles,9.609999656677246kW,167338.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-24T23:00:00-07:00 Los_Angeles,9.59000015258789kW,167338.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T23:15:00-07:00 Los_Angeles,9.619999885559082kW,167339.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-24T23:30:00-07:00 Los_Angeles,9.630000114440918kW,167339.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-24T23:45:00-07:00 Los_Angeles,9.609999656677246kW,167339.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T00:00:00-07:00 Los_Angeles,9.579999923706055kW,167339.796875hundred_cubic_feet_natural_gas,3kWh
2024-04-25T00:15:00-07:00 Los_Angeles,8.449999809265137kW,167339.796875hundred_cubic_feet_natural_gas,2kWh
