Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-25T19:15:00-07:00 Los_Angeles,8.90999984741211kW,167425.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-25T19:30:00-07:00 Los_Angeles,9.220000267028809kW,167429.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-25T19:45:00-07:00 Los_Angeles,9.40999984741211kW,167429.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-25T20:00:00-07:00 Los_Angeles,10.4399995803833kW,167429.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-25T20:15:00-07:00 Los_Angeles,10.479999542236328kW,167432.203125hundred_cubic_feet_natural_gas,3kWh
2024-04-25T20:30:00-07:00 Los_Angeles,10.369999885559082kW,167433.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-25T20:45:00-07:00 Los_Angeles,10.470000267028809kW,167433.5hundred_cubic_feet_natural_gas,2kWh
2024-04-25T21:00:00-07:00 Los_Angeles,10.119999885559082kW,167434.5hundred_cubic_feet_natural_gas,3kWh
2024-04-25T21:15:00-07:00 Los_Angeles,9.699999809265137kW,167436.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T21:30:00-07:00 Los_Angeles,9.65999984741211kW,167436.109375hundred_cubic_feet_natural_gas,3kWh
2024-04-25T21:45:00-07:00 Los_Angeles,9.609999656677246kW,167436.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T22:00:00-07:00 Los_Angeles,9.680000305175781kW,167437.609375hundred_cubic_feet_natural_gas,3kWh
2024-04-25T22:15:00-07:00 Los_Angeles,9.6899995803833kW,167438.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T22:30:00-07:00 Los_Angeles,9.619999885559082kW,167438.5hundred_cubic_feet_natural_gas,2kWh
2024-04-25T22:45:00-07:00 Los_Angeles,9.680000305175781kW,167439hundred_cubic_feet_natural_gas,3kWh
2024-04-25T23:00:00-07:00 Los_Angeles,9.710000038146973kW,167439.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-25T23:15:00-07:00 Los_Angeles,9.729999542236328kW,167440hundred_cubic_feet_natural_gas,3kWh
2024-04-25T23:30:00-07:00 Los_Angeles,9.779999732971191kW,167440.40625hundred_cubic_feet_natural_gas,2kWh
2024-04-25T23:45:00-07:00 Los_Angeles,9.800000190734863kW,167440.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-26T00:00:00-07:00 Los_Angeles,9.710000038146973kW,167440.703125hundred_cubic_feet_natural_gas,2kWh
2024-04-26T00:15:00-07:00 Los_Angeles,8.510000228881836kW,167441hundred_cubic_feet_natural_gas,2kWh
