Timestamp,Kirsch Center Net Meter Real Power,S6 Central Plant Gas Meter Gas Consumption,Kirsch Center Net Meter Net Energy Consumed
2024-04-26T23:45:00-07:00 Los_Angeles,9.699999809265137kW,167508hundred_cubic_feet_natural_gas,""
2024-04-27T00:00:00-07:00 Los_Angeles,9.59000015258789kW,167508.40625hundred_cubic_feet_natural_gas,3kWh
2024-04-27T00:15:00-07:00 Los_Angeles,8.489999771118164kW,167508.796875hundred_cubic_feet_natural_gas,2kWh
2024-04-27T00:30:00-07:00 Los_Angeles,8.5kW,167509.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-27T00:45:00-07:00 Los_Angeles,8.510000228881836kW,167509.5hundred_cubic_feet_natural_gas,2kWh
2024-04-27T01:00:00-07:00 Los_Angeles,8.550000190734863kW,167510hundred_cubic_feet_natural_gas,2kWh
2024-04-27T01:15:00-07:00 Los_Angeles,8.619999885559082kW,167510.296875hundred_cubic_feet_natural_gas,3kWh
2024-04-27T01:30:00-07:00 Los_Angeles,8.619999885559082kW,167511hundred_cubic_feet_natural_gas,2kWh
2024-04-27T01:45:00-07:00 Los_Angeles,8.579999923706055kW,167511.109375hundred_cubic_feet_natural_gas,2kWh
2024-04-27T02:00:00-07:00 Los_Angeles,8.600000381469727kW,167511.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-27T02:15:00-07:00 Los_Angeles,8.600000381469727kW,167511.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-27T02:30:00-07:00 Los_Angeles,8.600000381469727kW,167512.296875hundred_cubic_feet_natural_gas,2kWh
2024-04-27T02:45:00-07:00 Los_Angeles,8.720000267028809kW,167512.703125hundred_cubic_feet_natural_gas,3kWh
2024-04-27T03:00:00-07:00 Los_Angeles,8.65999984741211kW,167513hundred_cubic_feet_natural_gas,2kWh
2024-04-27T03:15:00-07:00 Los_Angeles,8.520000457763672kW,167513.5hundred_cubic_feet_natural_gas,2kWh
2024-04-27T03:30:00-07:00 Los_Angeles,8.520000457763672kW,167513.90625hundred_cubic_feet_natural_gas,2kWh
2024-04-27T03:45:00-07:00 Los_Angeles,8.520000457763672kW,167514.203125hundred_cubic_feet_natural_gas,2kWh
2024-04-27T04:00:00-07:00 Los_Angeles,8.520000457763672kW,167514.609375hundred_cubic_feet_natural_gas,2kWh
2024-04-27T04:15:00-07:00 Los_Angeles,8.529999732971191kW,167515.109375hundred_cubic_feet_natural_gas,2kWh
